fund,property_code,property,property_name_clean,suite,lease_start,lease_end,lease_term_months,remaining_term_months,security_deposit,market,data_quality_flag,lease,lease_type,term,tenancy,monthly,monthly_.1,annual,annual_.1,annual_.2,annual_.3,loc_amount_,fund_derived
FUND 2,xil231ja,231 James Street (xil231ja),231 James Street,235,2025-03-01,2028-02-29,36.0,30.7,,7494.0,,"Quench USA, Inc. (t0001417)",Industrial Net,36.0,0.33,6406.25,0.85,76875,10.26,2.6,0,0,Fund 2
FUND 2,xil231ja,231 James Street (xil231ja),231 James Street,"237,  239",2023-04-01,2028-05-31,62.0,33.7,,15000.0,,A-1 Outlet (t0001013),Industrial Net,62.0,2.25,12062.5,0.8,144750,9.65,3.66,0,0,Fund 2
FUND 2,xil2500w,2500 West Lake  (xil2500w),2500 West Lake,2500,2021-12-16,2027-08-31,68.5,24.7,,13000.0,,"A. MESSE ACQUISITION, LLC (t0000642)",Modified Gross,69.0,3.58,10937.5,0.84,131250,10.1,2.04,0,0,Fund 2
FUND 2,xil250n,250 North Washtenaw Avenue (xil250n),250 North Washtenaw Avenue,250,2021-11-23,2026-12-31,61.2,16.7,,46000.0,,Mighty Cake Company LLC (t0000608),Industrial Net,62.0,3.67,36685,0.8,440220,9.57,3.44,0,0,Fund 2
FUND 2,xil305e,305 E North Ave (xil305e),305 E North Ave,305,2023-10-01,2030-12-31,87.0,64.7,,32838.0,,The McAlear Group (t0001039),Industrial Net,87.0,1.75,24190.66,0.74,290287.92,8.84,3.51,0,0,Fund 2
FUND 2,xil305e,305 E North Ave (xil305e),305 E North Ave,307,,,,,,17605.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xil464no,464 Northgate Parkway (xil464no),464 Northgate Parkway,464,2018-06-01,2027-03-31,105.9,19.6,0.0,26927.0,,Terrazzo & Marble Supply Company of IL (t0000655),Industrial Net,106.0,7.08,19449.04,0.72,233388.48,8.67,0,0,0,Fund 2
FUND 2,xil529t,529 Thomas Drive (xil529t),529 Thomas Drive,529,2013-11-01,2029-03-31,184.9,43.7,,62000.0,,Lake Cable LLC (t0000610),Modified Gross,185.0,11.67,31522.88,0.51,378274.56,6.1,2.5,0,0,Fund 2
FUND 2,xil700h,700 High Grove Boulevard (xil700h),700 High Grove Boulevard,700,,,,,,43519.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xil747,747-777 Chase Ave (xil747),747-777 Chase Ave,747,2011-10-01,2030-01-31,220.0,53.7,,123200.0,,"Acme Industries, Inc. (t0000519)",Industrial Net,220.0,13.75,68793.51,0.56,825522.12,6.7,1.69,0,0,Fund 2
FUND 2,xil770ar,770 Arthur Avenue (xil770ar),770 Arthur Avenue,780,2022-06-01,2025-10-31,41.0,2.7,,21741.0,,Event Link (t0000718),Industrial Net,41.0,3.08,12493.65,0.57,149923.8,6.9,5.56,0,0,Fund 2
FUND 2,xil770ar,770 Arthur Avenue (xil770ar),770 Arthur Avenue,780,2025-11-01,2033-02-28,87.9,90.6,,21741.0,,* Innoved Institute LLC (t0001397),Industrial Net,88.0,-0.33,0,0,0,0,6.49,0,0,Fund 2
FUND 2,xil770ar,770 Arthur Avenue (xil770ar),770 Arthur Avenue,770,2025-06-01,2026-05-31,12.0,9.7,0.0,41455.0,,** Turner Construction Company (t0001516),Industrial Fixed,12.0,0.08,50091.46,1.21,601097.52,14.5,0,0,0,Fund 2
FUND 2,xil7760m,7760 N Merrimac (xil7760m),7760 N Merrimac,100,2022-06-01,2029-05-31,84.0,45.7,,55980.0,,"Quality Elevator Products Acquisitions, Inc. (t0000859)",Industrial Net,84.0,3.08,28713.1,0.51,344557.2,6.16,3.47,0,0,Fund 2
FUND 2,xil77whe,77 Wheeling Road (xil77whe),77 Wheeling Road,77,2018-06-30,2027-03-31,105.0,19.6,,78882.0,,Terrazzo & Marble Supply Company of IL  (t0000665),Industrial Net,106.0,7.08,51795.9,0.66,621550.8,7.88,0,0.04,0,Fund 2
FUND 2,xil900b,900 East Business Center Drive (xil900b),900 East Business Center Drive,A,2019-01-01,2026-05-31,88.9,9.7,0.0,30307.0,,"Dynamic Rubber, Inc.  (t0000540)",Industrial Net,89.0,6.5,18467.98,0.61,221615.76,7.31,4.83,0,0,Fund 2
FUND 2,xil900b,900 East Business Center Drive (xil900b),900 East Business Center Drive,B,2020-10-01,2025-12-31,63.0,4.7,,13231.0,,"Consolidated Electrical Distributors, Inc.  (t0000541)",Industrial Net,63.0,4.75,7447.93,0.56,89375.16,6.75,4.83,0,0,Fund 2
FUND 2,xil900b,900 East Business Center Drive (xil900b),900 East Business Center Drive,B,2026-01-01,2031-02-28,61.9,66.6,0.0,13231.0,,* Trident ExIm LLC (t0001454),Industrial Net,62.0,-0.5,0,0,0,0,3.97,0,0,Fund 2
FUND 2,xilmitch,561 Mitchell Ave (xilmitch),561 Mitchell Ave,561,2016-07-01,2026-06-30,119.9,10.6,0.0,30000.0,,Aakash Chemicals  (t0000505),Modified Gross,120.0,9,20000,0.67,240000,8,0,0,0,Fund 2
FUND 2,xilmount,3325 Mount Prospect Road (xilmount),3325 Mount Prospect Road,1,2015-12-15,2030-12-14,180.0,64.1,0.0,64002.0,,Centurion Service Group LLC (t0000509),Industrial Net,180.0,9.58,26095.47,0.41,313145.64,4.89,4.54,0,0,Fund 2
FUND 2,xky4175a,4175 Aero ParkWay (xky4175a),4175 Aero ParkWay,"4175,  LAND",2017-07-01,2027-06-30,119.9,22.6,0.0,180000.0,,Robert Bosch Automotive Steering LLC (t0000662),Industrial Net,120.0,8,80668.17,0.45,968018.04,5.38,1.33,0,0,Fund 2
FUND 2,xnj1010,1010 Old Egg Harbor (xnj1010),1010 Old Egg Harbor,1010,,,,,,73489.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj108n,108 North Gold Drive (xnj108n),108 North Gold Drive,108,,,,,,23912.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj10tw,10 Twosome Drive (xnj10tw),10 Twosome Drive,10,2022-09-01,2029-08-31,84.0,48.7,,45375.0,,Del Val Ingredients (t0000927),Industrial Net,84.0,2.83,32718.4,0.72,392620.8,8.65,2.13,0,0,Fund 2
FUND 2,xnj121mo,121 Moonachie Ave (xnj121mo),121 Moonachie Ave,121,2022-03-14,2027-03-31,60.5,19.6,,62000.0,,"CONTENT CRITICAL SOLUTIONS, INC (t0000742)",Industrial Net,61.0,3.33,81375,1.31,976500,15.75,3.71,0,0,Fund 2
FUND 2,xnj125al,125 Algonquin Parkway (xnj125al),125 Algonquin Parkway,01,2020-01-01,2029-12-31,120.0,52.7,,21000.0,,Hoop Heaven (t0000613),Industrial Net,120.0,5.5,17500,0.83,210000,10,2.57,0,0,Fund 2
FUND 2,xnj125al,125 Algonquin Parkway (xnj125al),125 Algonquin Parkway,02,2024-04-01,2029-04-30,60.9,44.6,,50000.0,,Krowne Metal Coporation (t0001173),Industrial Net,61.0,1.25,67166.67,1.34,806000.04,16.12,2.96,0,0,Fund 2
FUND 2,xnj128ba,128 Bauer Drive (xnj128ba),128 Bauer Drive,01,2017-09-01,2027-09-30,120.9,25.7,,10341.0,,Goldstein & Burton (t0000624),Industrial Net,121.0,7.83,12831.46,1.24,153977.52,14.89,5.24,0,0,Fund 2
FUND 2,xnj128ba,128 Bauer Drive (xnj128ba),128 Bauer Drive,02,2023-11-01,2030-12-31,86.0,64.7,,21142.0,,Black Walnut LLC (t0001074),Industrial Net,86.0,1.67,25194.22,1.19,302330.6,14.3,6.01,0,0,Fund 2
FUND 2,xnj128ba,128 Bauer Drive (xnj128ba),128 Bauer Drive,04,2023-01-01,2028-01-31,61.0,29.7,,10699.0,,Merritt (t0000991),Industrial Net,61.0,2.5,13017.12,1.22,156205.44,14.6,6.02,0,0,Fund 2
FUND 2,xnj145al,145 Algonquin Parkway (xnj145al),145 Algonquin Parkway,01,2024-07-01,2029-08-31,62.0,48.7,,11701.0,,Computechsale (t0001185),Industrial Net,62.0,1,14138.71,1.21,169664.52,14.5,3.74,0,0,Fund 2
FUND 2,xnj145al,145 Algonquin Parkway (xnj145al),145 Algonquin Parkway,02,2021-07-01,2026-09-30,63.0,13.7,,11777.0,,"Millburn Gymnastics, LLC (t0000621)",Industrial Net,63.0,4,10027.13,0.85,120325.56,10.22,3.26,0,0,Fund 2
FUND 2,xnj14rol,14 Roland Avenue (xnj14rol),14 Roland Avenue,14,2021-12-21,2027-12-31,72.3,28.7,,24000.0,,"PolyTech Defense Spares, LLC (t0000664)",Industrial Net,73.0,3.58,13396.83,0.56,160761.96,6.7,2.23,0,0,Fund 2
FUND 2,xnj14th,14-16 Thomas J Rhodes (xnj14th),14-16 Thomas J Rhodes,14A,2017-05-01,2027-04-30,119.9,20.6,,35894.0,,Medical Indicators (t0000605),Industrial Net,120.0,8.17,19951.08,0.56,239412.96,6.67,3.45,0,0,Fund 2
FUND 2,xnj14th,14-16 Thomas J Rhodes (xnj14th),14-16 Thomas J Rhodes,14B,2022-06-01,2027-05-31,60.0,21.6,,8510.0,,Mule Extracts LLC (t0000797),Industrial Net,60.0,3.08,8209.49,0.96,98513.88,11.58,3.89,0,0,Fund 2
FUND 2,xnj156al,156 Algonquin Parkway (xnj156al),156 Algonquin Parkway,01,,,,,,17761.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj1601s,1601-1641 Sherman Avenue (xnj1601s),1601-1641 Sherman Avenue,"1601-A-C,  1601-C-1",2021-12-06,2027-02-28,62.7,18.6,,33492.0,,The Printer Inc. (TPI) (t0000661),Industrial Net,63.0,3.58,24080.81,0.72,288969.72,8.63,2.81,0,0,Fund 2
FUND 2,xnj1601s,1601-1641 Sherman Avenue (xnj1601s),1601-1641 Sherman Avenue,1641,2021-05-01,2026-04-30,60.0,8.6,,9960.0,,Hajoca Corporation (t0000660),Industrial Net,60.0,4.17,4873.42,0.49,58481.04,5.87,2.81,0,0,Fund 2
FUND 2,xnj1601s,1601-1641 Sherman Avenue (xnj1601s),1601-1641 Sherman Avenue,1601-DE,,,,,,13869.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj17pol,17-01 Pollitt Drive (xnj17pol),17-01 Pollitt Drive,01,2021-02-15,2026-01-31,59.5,5.7,,8438.0,,Biogen Laboratory Corporation (t0000629),Industrial Net,60.0,4.42,6680.08,0.79,80160.96,9.5,4.02,0,0,Fund 2
FUND 2,xnj17pol,17-01 Pollitt Drive (xnj17pol),17-01 Pollitt Drive,02,2020-11-01,2026-05-31,66.9,9.7,,20897.0,,"Kyodo Shipping and Trading USA, Corp (t0000630)",Industrial Net,67.0,4.67,24954.5,1.19,299454,14.33,4.86,0,0,Fund 2
FUND 2,xnj17pol,17-01 Pollitt Drive (xnj17pol),17-01 Pollitt Drive,03,2023-06-01,2028-07-31,62.0,35.7,,18880.0,,CSM Entertainment (t0001021),Industrial Net,62.0,2.08,22547.75,1.19,270573,14.33,4.89,0,0,Fund 2
FUND 2,xnj17pol,17-01 Pollitt Drive (xnj17pol),17-01 Pollitt Drive,04,2021-11-01,2031-10-31,119.9,74.7,,15179.0,,"Securitas Electronic Supply, Inc. (t0000632)",Industrial Net,120.0,3.67,17027.21,1.12,204326.52,13.46,4.72,0,0,Fund 2
FUND 2,xnj17pol,17-01 Pollitt Drive (xnj17pol),17-01 Pollitt Drive,05,2024-02-01,2027-01-31,36.0,17.7,,20994.0,,Madina Industrial Corp (t0001156),Industrial Net,36.0,1.42,23653.24,1.13,283838.88,13.52,4.88,0,0,Fund 2
FUND 2,xnj17pol,17-01 Pollitt Drive (xnj17pol),17-01 Pollitt Drive,4.1,2021-09-02,2028-12-31,87.9,40.7,0.0,20962.0,,G-Way Solutions LLC (t0000634),Industrial Net,88.0,3.83,25329.08,1.21,303948.96,14.5,4.42,0,193025.09,Fund 2
FUND 2,xnj17pol,17-01 Pollitt Drive (xnj17pol),17-01 Pollitt Drive,ROOF,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj1803u,1803 Underwood Boulevard (xnj1803u),1803 Underwood Boulevard,1803,,,,,,17600.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj1980o,1980 Old Cuthbert Road (xnj1980o),1980 Old Cuthbert Road,1980,,,,,,14000.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj19ind,19 Industrial Avenue (xnj19ind),19 Industrial Avenue,"CENTER,  NE,  NWCNR,  SECNR",2017-03-01,2029-02-28,144.0,42.6,,46424.0,,Werner Aero Services (t0000864),Industrial Net,144.0,8.33,56565.76,1.22,678789.12,14.62,2.92,0,0,Fund 2
FUND 2,xnj19ind,19 Industrial Avenue (xnj19ind),19 Industrial Avenue,SCNR,2022-05-22,2027-05-31,60.3,21.6,,6480.0,,"Erie Construction Mid-West, LLC (t0000862)",Industrial Net,61.0,3.17,7079.4,1.09,84952.8,13.11,3.32,0,0,Fund 2
FUND 2,xnj19nev,19-05 Nevins Road (xnj19nev),19-05 Nevins Road,"01,  02,  03",2019-03-15,2029-10-31,127.6,50.7,,151799.0,,"RD Foods America, Inc. (t0000627)",Industrial Net,128.0,6.33,192911.23,1.27,2314934.76,15.25,3.05,0,0,Fund 2
FUND 2,xnj200ri,200 Rike Drive (xnj200ri),200 Rike Drive,200,2018-04-01,2028-09-30,126.0,37.7,,63000.0,,Greif Packaging LLC (t0000704),Industrial Net,126.0,7.25,70958.33,1.13,851499.96,13.52,0,0,0,Fund 2
FUND 2,xnj2036b,2036 Briggs Road (xnj2036b),2036 Briggs Road,100,2016-05-01,2026-04-30,119.9,8.6,,10000.0,,Goldfish Swim School (t0000450),Industrial Net,120.0,9.17,6958.33,0.7,83499.96,8.35,6.01,0,0,Fund 2
FUND 2,xnj2036b,2036 Briggs Road (xnj2036b),2036 Briggs Road,200,2017-01-01,2026-12-31,119.9,16.7,,5025.0,,Kaizen Martial Arts of NJ (t0000452),Industrial Net,120.0,8.5,3132.25,0.62,37587,7.48,4.72,3.48,0,Fund 2
FUND 2,xnj2036b,2036 Briggs Road (xnj2036b),2036 Briggs Road,300,2019-01-01,2029-03-31,122.9,43.7,,9849.0,,Escape Movement Center (t0000453),Industrial Net,123.0,6.5,4860.89,0.49,58330.68,5.92,4.72,4.37,0,Fund 2
FUND 2,xnj2036b,2036 Briggs Road (xnj2036b),2036 Briggs Road,400,2020-04-01,2030-03-31,119.9,55.7,,15075.0,,Will-Moor School of Gymnastics (t0000454),Industrial Net,120.0,5.25,10688.2,0.71,128258.4,8.51,4.72,0,0,Fund 2
FUND 2,xnj2050h,20-50 Harkins Drive (xnj2050h),20-50 Harkins Drive,2050,2022-04-20,2027-04-30,60.3,20.6,,24000.0,,Modular Closets LLC (t0000779),Industrial Net,61.0,3.25,17800,0.74,213600,8.9,2.16,0,0,Fund 2
FUND 2,xnj2075h,2075 High Hill Road (xnj2075h),2075 High Hill Road,2075,2017-03-01,2027-02-28,119.9,18.6,,33078.0,,"Bridgestone Hosepower, LLC (t0000703)",Industrial Net,120.0,8.33,19578.66,0.59,234943.92,7.1,1.54,0,0,Fund 2
FUND 2,xnj220r,220 Route 70 (xnj220r),220 Route 70,A,2019-10-27,,,,,60880.0,,RPI Industries Inc. (t0000598),Industrial Net,,5.75,35361.66,0.58,424339.92,6.97,0.11,0,0,Fund 2
FUND 2,xnj220r,220 Route 70 (xnj220r),220 Route 70,B,2023-12-01,2028-12-31,61.0,40.7,,23545.0,,"Simonik Transportation & Warehousing Group, LLC (t0001151)",Industrial Net,61.0,1.58,17854.96,0.76,214259.52,9.1,2.53,0,0,Fund 2
FUND 2,xnj3001i,3001 Irwin Road (xnj3001i),3001 Irwin Road,"C,  E",2022-08-01,2033-10-31,135.0,98.7,,37838.0,,CF17 MANAGEMENT LLC (t0000459),Industrial Net,135.0,2.92,23087.02,0.61,277044.24,7.32,2.83,0,0,Fund 2
FUND 2,xnj3001i,3001 Irwin Road (xnj3001i),3001 Irwin Road,D,2022-10-15,2025-10-31,36.5,2.7,0.0,3555.0,,Faropoint (t0000959),Industrial Net,37.0,2.75,2589.76,0.73,31077.12,8.74,2.51,0,0,Fund 2
FUND 2,xnj3001i,3001 Irwin Road (xnj3001i),3001 Irwin Road,A,,,,,,24600.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj3001i,3001 Irwin Road (xnj3001i),3001 Irwin Road,B,,,,,,24805.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj30les,30 Leslie Court (xnj30les),30 Leslie Court,30,2023-10-16,2028-09-30,59.5,37.7,,16003.0,,Nephros (t0001042),Industrial Net,60.0,1.75,22590.9,1.41,271090.8,16.94,4.29,0,0,Fund 2
FUND 2,xnj30les,30 Leslie Court (xnj30les),30 Leslie Court,40,2023-03-01,2026-02-28,36.0,6.6,,9247.0,,Gotham FC (t0001007),Industrial Net,36.0,2.33,11720.57,1.27,140646.84,15.21,4.29,0,0,Fund 2
FUND 2,xnj313c,313 Church Street (xnj313c),313 Church Street,313,2021-09-09,2026-09-30,60.7,13.7,0.0,67000.0,,"Corporate Facility Services USA, LLC (t0000547)",Industrial Net,61.0,3.83,29591.67,0.44,355100.04,5.3,1.06,0,0,Fund 2
FUND 2,xnj390n,390 New Albany Road (xnj390n),390 New Albany Road,390,,,,,,56600.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj400wa,400 Water Street (xnj400wa),400 Water Street,400,2022-01-01,2029-12-31,96.0,52.7,,38550.0,,L&W Supply Corporation (t0000715),Industrial Net,96.0,3.5,28430.63,0.74,341167.56,8.85,2.15,0,0,Fund 2
FUND 2,xnj40pot,40 Potash Road (xnj40pot),40 Potash Road,01,2017-11-01,2027-10-31,119.9,26.7,0.0,60994.0,,Cablevision of Oakland (t0000617),Industrial Net,120.0,7.67,88949.58,1.46,1067394.96,17.5,6.63,0,0,Fund 2
FUND 2,xnj52col,52 Coles Road  (xnj52col),52 Coles Road,52,2021-05-01,2026-04-30,60.0,8.6,,62000.0,,"CCJ, LLC (t0000549)",Industrial Net,60.0,4.17,21978.37,0.35,263740.44,4.25,1.51,0,0,Fund 2
FUND 2,xnj59cha,59 Chambers Brook Road (xnj59cha),59 Chambers Brook Road,100,2022-06-15,2026-10-31,52.5,14.7,0.0,10272.0,,ADT Commercial LLC (t0000831),Industrial Net,53.0,3.08,12463.36,1.21,149560.32,14.56,6.09,0,0,Fund 2
FUND 2,xnj5thor,5 Thornton Road (xnj5thor),5 Thornton Road,01,2021-11-01,2031-10-31,119.9,74.7,0.0,150801.0,,Garden State Lumber Products Corp (t0000618),Industrial Net,120.0,3.67,110970.73,0.74,1331648.76,8.83,4.3,0,206094.7,Fund 2
FUND 2,xnj6000i,6000 Irwin Road (xnj6000i),6000 Irwin Road,6000,2023-12-01,2027-11-30,48.0,27.7,0.0,46188.0,,PSE&G (t0001153),Industrial Net,48.0,1.58,48035.52,1.04,576426.24,12.48,4.14,0,0,Fund 2
FUND 2,xnj6900r,6900 River Road (xnj6900r),6900 River Road,6900,,,,,,22698.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnj6925s,6925 Sherman Ave (xnj6925s),6925 Sherman Ave,6925,2022-04-26,2029-04-30,84.1,44.6,,30000.0,,"Aruvil International, Inc. (t0000784)",Industrial Net,85.0,3.25,14800,0.49,177600,5.92,1.96,0,0,Fund 2
FUND 2,xnj6965,6965 Airport Highway Lane (xnj6965),6965 Airport Highway Lane,6965,2021-08-31,2031-10-31,122.0,74.7,,103000.0,,"Material Handling Supply, Inc. (MHS Lift) (t0000545)",Industrial Net,123.0,3.92,58452.5,0.57,701430,6.81,1.44,0,0,Fund 2
FUND 2,xnj70cat,70 Cathy Lane (xnj70cat),70 Cathy Lane,1,2022-06-24,2026-01-13,42.7,5.1,0.0,13500.0,,Door Services Corporation (t0000845),Modified Gross,43.0,3.08,7000,0.52,84000,6.22,1.64,0.53,0,Fund 2
FUND 2,xnj70cat,70 Cathy Lane (xnj70cat),70 Cathy Lane,B,2023-07-01,2026-01-31,31.0,5.7,,5740.0,,Dream Maker Events and Decors LLC (t0001030),Industrial Net,31.0,2,4477.2,0.78,53726.4,9.36,2.49,0,0,Fund 2
FUND 2,xnj740co,740 Coopertown Road (xnj740co),740 Coopertown Road,740,2021-12-14,2026-12-31,60.5,16.7,0.0,133283.0,,"STYLEX, INC (t0000669)",Industrial Net,61.0,3.58,68208.97,0.51,818507.64,6.14,1.32,0.3,0,Fund 2
FUND 2,xnj7550,7550 North Crescent Boulevard (xnj7550),7550 North Crescent Boulevard,7550,2021-04-01,2026-04-01,60.0,7.7,0.0,22000.0,,"Flanagan's Towne Auto Enterprises III, Inc (t0000536)",Modified Gross,60.0,4.25,0,0,0,0,0,0,0,Fund 2
FUND 2,xnj845l,845 Lancer Drive (xnj845l),845 Lancer Drive,845,2020-12-01,2025-11-30,60.0,3.7,0.0,16800.0,,"Shingle & Gibb Automation, LLC (t0000553)",Industrial Net,60.0,4.58,15385.91,0.92,184630.92,10.99,2.12,0,0,Fund 2
FUND 2,xnj9100p,9100 Pennsauken Highway   (xnj9100p),9100 Pennsauken Highway,9100,2018-10-09,2029-04-30,126.7,44.6,0.0,47256.0,,"CS 9100, INC. (t0000714)",Industrial Net,127.0,6.75,22739.97,0.48,272879.64,5.77,1.87,0,0,Fund 2
FUND 2,xnj95bau,95 Bauer Drive (xnj95bau),95 Bauer Drive,01,2020-09-01,2027-06-30,81.9,22.6,,6792.0,,"Kradle to Kindergarten, Inc. (t0000619)",Modified Gross,82.0,4.83,10754,1.58,129048,19,0,0,0,Fund 2
FUND 2,xnjcentr,7055 Central Highway (xnjcentr),7055 Central Highway,,2022-05-01,2027-05-31,61.0,21.6,0.0,0.0,,Serious Shops LLC (t0000770),Industrial Net,61.0,3.17,0,0,0,0,0,0,0,Fund 2
FUND 2,xnjcentr,7055 Central Highway (xnjcentr),7055 Central Highway,7055-1,,,,,,20721.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnjcentr,7055 Central Highway (xnjcentr),7055 Central Highway,7055-2,,,,,,9967.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xnjmway3,3 Mary Way  (xnjmway3),3 Mary Way,"A,  B,  C",2023-02-01,2033-01-31,120.0,89.7,0.0,42560.0,,ABC Supply (t0000771),Industrial Net,120.0,2.42,29809.73,0.7,357716.76,8.4,1.88,0,0,Fund 2
FUND 2,xnjmway5,5 Mary Way (xnjmway5),5 Mary Way,"A,  B",2023-01-01,2030-08-31,92.0,60.7,,19914.0,,HERR Foods (t0000486),Industrial Net,92.0,2.5,15856.89,0.8,190282.68,9.56,1.99,0,0,Fund 2
FUND 2,xnjmway5,5 Mary Way (xnjmway5),5 Mary Way,C,2019-12-01,2028-02-29,98.9,30.7,,20086.0,,"Elysian One, Inc. (t0000488)",Industrial Net,99.0,5.58,16608.61,0.83,199303.32,9.92,2.03,0,0,Fund 2
FUND 2,xnjmway7,7 Mary Way (xnjmway7),7 Mary Way,B,2023-02-01,2028-01-31,60.0,29.7,,20000.0,,"Philadelphia Hardware Group of Philadelphia, Inc. (t0000805)",Industrial Net,60.0,2.42,13261.25,0.66,159135,7.96,2.15,0,0,Fund 2
FUND 2,xnjmway9,9 Mary Way (xnjmway9),9 Mary Way,A,2016-09-01,2026-08-31,119.9,12.7,,7500.0,,"Tenacity Fitness, LLC  (t0000485)",Industrial Net,120.0,8.83,3218.75,0.43,38625,5.15,2.41,0,0,Fund 2
FUND 2,xnjmway9,9 Mary Way (xnjmway9),9 Mary Way,"A1,  B",2020-09-01,2027-04-30,79.9,20.6,,34205.0,,Cryovation LLC (t0000491),Industrial Net,80.0,4.83,25262.5,0.74,303150,8.86,2.89,0.05,0,Fund 2
FUND 2,xoh154co,154 Commerce Blvd (xoh154co),154 Commerce Blvd,154,2022-07-12,2027-02-28,55.6,18.6,,79918.0,,P.T. International LLC (t0000857),Industrial Net,56.0,3,35134.7,0.44,421616.4,5.28,1.5,0.22,0,Fund 2
FUND 2,xoh382c,382 Circle Freeway Drive (xoh382c),382 Circle Freeway Drive,382,2019-03-29,2029-04-30,121.1,44.6,,47848.0,,Trane U.S. Inc.(DSM) (t0000603),Modified Gross,122.0,6.33,27856.51,0.58,334278.12,6.99,1.13,0,0,Fund 2
FUND 2,xoh8655,8655 Seward Road (xoh8655),8655 Seward Road,8655,2020-10-01,2030-09-30,119.9,61.7,,30512.0,,"G&W Products, LLC. (t0000604)",Modified Gross,120.0,4.75,15177.5,0.5,182130,5.97,1.01,0,0,Fund 2
FUND 2,xohcolu1,3000 – 3004 E 14th Avenue (xohcolu1),3000 – 3004 E 14th Avenue,3000,2016-04-01,2026-03-31,119.9,7.7,0.0,44000.0,,"FCX Performance, Inc. (t0000671)",Industrial Net,120.0,9.25,24058.56,0.55,288702.72,6.56,2.93,0,0,Fund 2
FUND 2,xohcolu1,3000 – 3004 E 14th Avenue (xohcolu1),3000 – 3004 E 14th Avenue,3004,2020-10-01,2025-09-30,60.0,1.7,0.0,17850.0,,"True World Foods Columbus, LLC (t0000675)",Modified Gross,60.0,4.75,8478.75,0.48,101745,5.7,0.53,0,0,Fund 2
FUND 2,xohcolu2,3045 – 3065 Switzer Avenue (xohcolu2),3045 – 3065 Switzer Avenue,3045,2022-09-19,2027-10-31,61.4,26.7,,6330.0,,Sixth City Distribution (t0000772),Industrial Net,62.0,2.83,4520.68,0.71,54248.16,8.57,3.95,0,0,Fund 2
FUND 2,xohcolu2,3045 – 3065 Switzer Avenue (xohcolu2),3045 – 3065 Switzer Avenue,3055,2022-09-19,2028-10-31,73.4,38.7,,5980.0,,KREG (t0000773),Industrial Net,74.0,2.83,4445.13,0.74,53341.56,8.92,3.95,0,0,Fund 2
FUND 2,xohcolu2,3045 – 3065 Switzer Avenue (xohcolu2),3045 – 3065 Switzer Avenue,3065,2022-09-19,2027-10-31,61.4,26.7,,5620.0,,Surfaces Construction (t0000889),Industrial Net,62.0,2.83,4177.53,0.74,50130.36,8.92,3.83,0,0,Fund 2
FUND 2,xohcolu3,3040 – 3050 E 14th Avenue (xohcolu3),3040 – 3050 E 14th Avenue,3040,2024-02-01,2025-09-30,19.9,1.7,,5893.0,,"True World Foods Columbus, LLC (t0001073)",Industrial Net,20.0,1.42,4066.17,0.69,48794.04,8.28,4.22,0,0,Fund 2
FUND 2,xohcolu3,3040 – 3050 E 14th Avenue (xohcolu3),3040 – 3050 E 14th Avenue,3050,2020-10-12,2025-09-30,59.6,1.7,,5625.0,,"True World Foods Columbus, LLC  (t0000676)",Modified Gross,60.0,4.75,2835,0.5,34020,6.05,0.35,0,0,Fund 2
FUND 2,xohcolu4,1149 – 1161 Rarig Avenue (xohcolu4),1149 – 1161 Rarig Avenue,1161,2019-01-01,2028-08-31,116.0,36.7,,28808.0,,"Loomis Armored US, LCC (t0000673)",Modified Gross,116.0,6.5,16924.7,0.59,203096.4,7.05,0.26,0,0,Fund 2
FUND 2,xohcomme,10021 Commerce Park Drive (xohcomme),10021 Commerce Park Drive,10021,2015-03-01,2028-02-29,156.0,30.7,0.0,80414.0,,"Chase Industries, Inc (t0000508)",Industrial Net,156.0,10.33,32634.68,0.41,391616.16,4.87,1.42,0,0,Fund 2
FUND 2,xohmost,12080 Mosteller Road (xohmost),12080 Mosteller Road,"A,  B",2021-02-01,2027-02-28,72.9,18.6,,111087.0,,The Gorilla Glue Company LLC (t0000434),Industrial Net,73.0,4.42,39724.68,0.36,476696.16,4.29,1.75,0,0,Fund 2
FUND 2,xohmost,12080 Mosteller Road (xohmost),12080 Mosteller Road,C,2024-03-01,2026-03-31,25.0,7.7,,47107.0,,"A and A Quality Appliance, Inc. (t0001147)",Industrial Net,25.0,1.33,21433.69,0.46,257204.28,5.46,1.75,0,0,Fund 2
