amendment hmy,property hmy,property code,tenant hmy,tenant id,amendment status code,amendment status,amendment type code,amendment type,amendment sequence,units under amendment,hmy units under amendment,amendment sf,amendment term,amendment start date,amendment end date,amendment sign date,amendment description,amendment notes,holdover %,amendment start date serial,amendment end date serial
4193,1681,xga4225,4352,t0000570,1,Activated,0,Original Lease,0,107,3015,2323,36,11/1/2019,10/31/2022,2019-10-31,,,150,43770,44865.0
4194,1681,xga4225,4353,t0000571,2,Superseded,0,Original Lease,0,112,3018,2730,36,7/1/2020,6/30/2023,2020-06-06,,,150,44013,45107.0
4195,1681,xga4225,4354,t0000572,2,Superseded,0,Original Lease,0,108-109,3016,4630,38,4/1/2019,5/31/2022,2019-05-31,,,150,43556,44712.0
4197,1676,xnj420be,4356,t0000573,2,Superseded,0,Original Lease,0,A-1,3166,1894,60,4/1/2019,3/31/2024,,Original,,0,43556,45382.0
4205,1689,xga265c,4363,t0000575,2,Superseded,0,Original Lease,0,265,3026,82486,63,10/1/2016,12/31/2021,2016-09-01,ORIG & 1ST AMEND,"""4.1  Tenant   hereby  covenants  and  agrees  and  shall   be  obligated   to  pay  to Landlord  all  """"Landlord   Insurance  Costs"""",  all  """"Real  Estate Assessments  and  Taxes""""  and  all """"Amortized  Landlord  Repair  Costs"""" as those terms are hereinafter  defined.   In addition,  Tenant shall pay all """"Operating Expenses"""" directly to the payees or vendors entitled thereto, as   that term is  hereinafter  defined.    These  payments  shall  be  in  addition  to  and  not  in lieu  of  any  other payments due from Tenant hereunder.""",0,42644,44561.0
4208,1585,xnjmway5,2309,t0000487,1,Activated,1,Renewal,1,B,1547,10000,6,11/1/2021,4/30/2022,,,Created by exercising a Renewal Option,0,44501,44681.0
4292,1696,xga4601,4434,t0000577,2,Superseded,0,Original Lease,0,4601,3068,125723,183,10/23/2007,12/31/2022,,,,150,39378,44926.0
4345,1695,xnj390n,4488,t0000578,2,Superseded,0,Original Lease,0,390,3109,56600,25,10/1/2021,10/31/2023,,Original,,150,44470,45230.0
4346,1683,xnj1010,4489,t0000579,2,Superseded,0,Original Lease,0,1010,3110,73489,37,10/1/2021,10/31/2024,2023-10-16,Original,,200,44470,45596.0
4349,1670,xga130j,4501,t0000580,2,Superseded,0,Original Lease,0,130,2978,38164,2,11/1/2021,12/31/2021,2021-10-22,Temporary License Ag,,0,44501,44561.0
11105,1884,xnj40pot,5464,t0000617,1,Activated,1,Renewal,1,01,3876,60994,60,11/1/2022,10/31/2027,2022-05-13,Sixth Amendment,,0,44866,46691.0
11106,1874,xil700h,10359,t0000777,2,Superseded,0,Original Lease,0,700,8249,43519,36,5/16/2022,5/15/2025,2022-05-11,Original Lease,,150,44697,45792.0
18270,3642,xnj19ind,15315,t0000850,2,Superseded,0,Original Lease,0,,,0,86,8/1/2022,9/30/2029,2022-07-05,Original Lease,,200,44774,47391.0
18271,3631,xga1610s,15316,t0000851,1,Activated,0,Original Lease,0,A,12579,27000,70,6/15/2022,3/31/2028,2019-08-22,Third Amendment,T pays its own RETax.,0,44727,46843.0
15457,1664,xil1terr,4181,t0000512,2,Superseded,9,Assignment,1,,,0,0,6/3/2022,,,First Amd & Assignment,,0,44715,
15458,1664,xil1terr,4181,t0000512,2,Superseded,1,Renewal,2,C,2965,22001,24,1/1/2023,12/31/2024,2022-06-03,First Amd & Assignment,,0,44927,45657.0
12251,1587,xnjmway9,2317,t0000491,2,Superseded,1,Renewal,2,B,1584,34205,60,5/1/2022,4/30/2027,2022-05-12,FP Lease Renewal,New Faropoint Lease for existing tenant.,0,44682,46507.0
21307,1878,xnj125al,5460,t0000614,2,Superseded,4,Termination,1,,,50000,0,7/18/2022,7/18/2022,,Early Termination,T didn't cure default.,0,44760,44760.0
21312,3728,xnj1803u,17707,t0000906,1,Activated,0,Original Lease,0,1803,14387,17600,12,7/12/2022,7/11/2023,2022-07-12,Original Lease,,200,44754,45118.0
21313,1878,xnj125al,5460,t0000614,2,Superseded,5,Holdover,2,02,3851,50000,0,7/19/2022,1/26/2023,,Holdover,,200,44761,44952.0
21314,3669,xil222ja,17708,t0000907,2,Superseded,0,Original Lease,0,224,12834,12905,62,10/17/2022,11/30/2027,2022-07-27,Original Lease,,200,44851,46721.0
21349,3670,xga1585r,15819,t0000858,1,Activated,1,Renewal,2,A,12854,48000,1,9/4/2022,10/3/2022,2022-08-15,Option3,,0,44808,44837.0
18450,3636,xfl3333c,15438,t0000853,2,Superseded,0,Original Lease,0,300,12081,600,36,4/1/2022,3/31/2025,2022-03-08,Original Lease,FP acquisition date 06/15/2022,0,44652,45747.0
18875,3671,xoh154co,15781,t0000857,1,Activated,0,Original Lease,0,154,12858,79918,56,7/12/2022,2/28/2027,2022-07-11,Original Lease,,150,44754,46446.0
18922,3670,xga1585r,15819,t0000858,2,Superseded,0,Original Lease,0,A,12854,48000,1,7/5/2022,8/4/2022,2022-07-05,License Agreement,,0,44747,44777.0
6106,1785,xnj14th,4917,t0000605,1,Activated,1,Renewal,1,14A,3686,35894,60,5/1/2022,4/30/2027,,Renewal Option,Created by exercising a Renewal Option,125,44682,46507.0
21471,3795,xnj1980o,17858,t0000923,2,Superseded,0,Original Lease,0,1980,15024,14000,36,8/5/2022,7/31/2025,2022-08-04,Original Lease,,150,44778,45869.0
5195,1785,xnj14th,5272,t0000607,1,Activated,0,Original Lease,0,14B,3687,9000,51,1/1/2018,3/31/2022,,Lease Agreement,,0,43101,44651.0
5196,1789,xil250n,5277,t0000608,2,Superseded,0,Original Lease,0,250,3840,46000,26,11/23/2021,12/31/2023,,Original Lease,,200,44523,45291.0
5211,1653,xtxritti,5293,t0000609,2,Superseded,0,Original Lease,0,3,2983,8730,36,12/1/2021,11/30/2024,2021-11-09,,,200,44531,45626.0
5212,1391,xgahire1,1338,t0000436,1,Activated,12,Remeasure,1,196,525,42000,58,1/1/2021,10/31/2025,,Remeasure,,150,44197,45961.0
5213,1392,xgahire2,1339,t0000437,1,Activated,12,Remeasure,1,201,524,30000,58,1/1/2021,10/31/2025,,Remeasure,,150,44197,45961.0
5214,1393,xgahire3,1340,t0000438,1,Activated,12,Remeasure,1,210,526,40841,58,1/1/2021,10/31/2025,,Remeasure,,150,44197,45961.0
5215,1394,xgahire4,1341,t0000439,1,Activated,12,Remeasure,1,224,527,33000,58,1/1/2021,10/31/2025,,Remeasure,SF adj to match new measurements,150,44197,45961.0
5216,1395,xgahire5,1342,t0000440,1,Activated,12,Remeasure,1,246,528,37500,58,1/1/2021,10/31/2025,,Remeasure,Adj SF to match new measurements,150,44197,45961.0
5217,1396,xgahire6,1343,t0000441,1,Activated,12,Remeasure,1,252,529,16600,58,1/1/2021,10/31/2025,,Remeasure,Adj SF to match new measurements,0,44197,45961.0
5218,1398,xgahire8,1345,t0000443,1,Activated,12,Remeasure,1,3000,531,20000,58,1/1/2021,10/31/2025,,Remeasure,Adju SF to match new measurements.,150,44197,45961.0
6807,2952,xtndelp2,6677,t0000690,2,Superseded,0,Original Lease,0,4319A,5085,72000,59,7/2/2018,5/31/2023,,,,150,43283,45077.0
6808,2952,xtndelp2,6678,t0000691,1,Activated,0,Original Lease,0,4319B,5086,72000,61,4/8/2021,4/30/2026,,,,0,44294,46142.0
4736,1732,xga1157,4851,t0000593,2,Superseded,0,Original Lease,0,1157,3167,166493,120,10/12/2021,10/11/2031,2023-05-10,Original Lease,,200,44481,48132.0
4796,1734,xil2101,4905,t0000594,2,Superseded,0,Original Lease,0,B-C,3502,55535,63,3/1/2020,5/31/2025,,First Amendment,,150,43891,45808.0
4797,1734,xil2101,4906,t0000595,1,Activated,0,Original Lease,0,200,3503,26994,37,9/20/2021,9/30/2024,,,,200,44459,45565.0
4798,1788,xnj10tw,4907,t0000596,2,Superseded,0,Original Lease,0,10,3505,44000,60,8/17/2019,8/16/2024,,Original,,150,43694,45520.0
4799,1787,xnj220r,4909,t0000598,2,Superseded,0,Original Lease,0,A,3506,60880,36,10/27/2019,10/27/2022,,Original,,150,43765,44861.0
4802,1756,xpa12111,4913,t0000601,2,Superseded,0,Original Lease,0,1211,3508,103421,60,11/6/2018,11/5/2023,,Original,,150,43410,45235.0
4803,1757,xpa327c,4914,t0000602,2,Superseded,0,Original Lease,0,327,3509,170390,120,11/6/2018,11/5/2028,,Original,,150,43410,47062.0
4804,1786,xoh382c,4915,t0000603,2,Superseded,0,Original Lease,0,382,3510,47635,62,3/29/2019,4/30/2024,,Original,,125,43553,45412.0
4805,1755,xoh8655,4916,t0000604,1,Activated,0,Original Lease,0,8655,3511,30512,60,10/1/2020,9/30/2025,,Original,,150,44105,45930.0
4806,1785,xnj14th,4917,t0000605,2,Superseded,0,Original Lease,0,14A,3686,35894,60,5/1/2017,4/30/2022,,First Renewal Option,,125,42856,44681.0
4807,1372,xtndelp1,4918,t0000606,2,Superseded,0,Original Lease,0,4290,495,41496,36,12/1/2021,11/30/2024,2021-11-24,,,0,44531,45626.0
453,1378,xtxwebbl,1276,t0000432,2,Superseded,0,Original Lease,0,7903,508,25355,38,10/1/2020,11/30/2023,,,Actual lease start - 10/23/2020,150,44105,45260.0
454,1383,xohmost,1306,t0000434,2,Superseded,0,Original Lease,0,A,503,90244,49,2/1/2021,2/28/2025,,Original,,125,44228,45716.0
455,1390,xtxball,1307,t0000435,2,Superseded,0,Original Lease,0,9615,509,29772,75,11/1/2020,1/31/2027,,,,200,44136,46418.0
7904,1372,xtndelp1,1347,t0000445,1,Activated,4,Termination,1,,,72000,0,2/1/2022,2/1/2022,,,tenant moved to new property code xtndelp2,0,44593,44593.0
7905,1372,xtndelp1,1349,t0000446,1,Activated,4,Termination,1,,,72000,0,2/1/2022,2/1/2022,,,tenant moved to new property code xtndelp2,0,44593,44593.0
7907,3273,xga3350h,7686,t0000711,1,Activated,0,Original Lease,0,100,6046,31825,61,2/22/2022,2/28/2027,,Original Lease,,175,44614,46446.0
7909,3273,xga3350h,7688,t0000712,2,Superseded,0,Original Lease,0,200,6047,22045,12,2/22/2022,1/31/2023,,,,175,44614,44957.0
7916,1901,xil77whe,5917,t0000656,1,Activated,0,Original Lease,0,,,0,7,8/25/2021,3/10/2022,,,,150,44433,44630.0
7917,3273,xga3350h,7696,t0000713,2,Superseded,0,Original Lease,0,300,6048,30000,12,1/1/2022,12/31/2022,,,,150,44562,44926.0
7918,2994,xnj9100p,7699,t0000714,2,Superseded,0,Original Lease,0,9100,5742,47256,67,10/9/2018,4/30/2024,,,,150,43382,45412.0
15406,3621,xtx2445s,13433,t0000807,1,Activated,0,Original Lease,0,2445,10007,40116,61,5/19/2022,5/31/2027,,,,150,44700,46538.0
15407,3546,xil240ja,13434,t0000808,2,Superseded,0,Original Lease,0,240,9155,4900,324,4/1/1997,3/31/2024,1997-01-23,Eighth Amendment,,200,35521,45382.0
15408,3546,xil240ja,13435,t0000809,2,Superseded,0,Original Lease,0,242,9156,2900,120,11/1/2013,10/31/2023,,Sixth Amendment,,200,41579,45230.0
15428,3546,xil240ja,13454,t0000810,2,Superseded,0,Original Lease,0,244,9157,3500,180,7/1/2010,6/30/2025,2010-04-26,Fifth Amendment,,200,40360,45838.0
15429,3546,xil240ja,13455,t0000811,2,Superseded,0,Original Lease,0,246,9158,7500,172,11/1/2009,2/29/2024,2009-10-15,Fourth Amendment,"Abstract states SecDep is $0 per  (Lease, Sec. 19.24, Pg. 17-18).  Waiting on copy of Lease.",150,40118,45351.0
15430,3546,xil240ja,13456,t0000812,2,Superseded,0,Original Lease,0,248,9159,6000,62,10/8/2018,11/30/2023,2018-08-15,First Amendment,,150,43381,45260.0
15431,3546,xil240ja,13457,t0000813,2,Superseded,0,Original Lease,0,250,9160,3500,97,2/1/2016,2/29/2024,2016-01-26,Fourth Amendment,,200,42401,45351.0
15432,3546,xil240ja,13458,t0000814,2,Superseded,0,Original Lease,0,252,9161,4300,75,5/1/2017,7/31/2023,2017-04-19,First Amendment,,150,42856,45138.0
15433,3626,xil1200p,13460,t0000815,1,Activated,0,Original Lease,0,1200,10918,32000,240,10/1/2006,9/30/2026,,First Amendment,,200,38991,46295.0
4128,1661,xil1688,4192,t0000518,2,Superseded,0,Original Lease,0,1688,2972,84804,126,1/1/2014,6/30/2024,,First Amendment,,125,41640,45473.0
4129,1659,xil1601,4194,t0000520,2,Superseded,0,Original Lease,0,1601B,2975,35791,159,8/1/2015,10/31/2028,,,,200,42217,47057.0
4130,1659,xil1601,4195,t0000521,2,Superseded,0,Original Lease,0,1601A,2974,27809,124,7/1/2018,10/31/2028,,,,200,43282,47057.0
4132,1652,xtxmorto,4196,t0000522,2,Superseded,0,Original Lease,0,100,2976,77536,124,11/1/2019,2/28/2030,,Third Amendment,,150,43770,47542.0
4133,1658,xtn225bo,4203,t0000523,1,Activated,0,Original Lease,0,229,2967,20840,261,9/15/2004,5/31/2026,,,,0,38245,46173.0
4134,1658,xtn225bo,4204,t0000524,2,Superseded,0,Original Lease,0,103,2968,33340,39,5/29/2020,7/31/2023,,,,0,43980,45138.0
4135,1666,xtn187bo,4205,t0000525,2,Superseded,0,Original Lease,0,100,2979,120000,54,10/1/2019,3/31/2024,,,,0,43739,45382.0
4136,1652,xtxmorto,4206,t0000526,1,Activated,0,Original Lease,0,106,2977,132133,126,9/1/2020,2/28/2031,,Original Lease,,150,44075,47907.0
4137,1653,xtxritti,4208,t0000528,1,Activated,0,Original Lease,0,7,2980,8809,60,10/1/2020,9/30/2025,,Third Amendment,,150,44105,45930.0
4138,1660,xil747,4193,t0000519,1,Activated,0,Original Lease,0,747,2973,123200,220,10/1/2011,1/31/2030,,,,150,40817,47514.0
4139,1653,xtxritti,4220,t0000529,1,Activated,0,Original Lease,0,4       //5       //6,2982//15751//15752,26413,64,2/15/2021,6/14/2026,,,,150,44242,46187.0
4140,1653,xtxritti,4221,t0000530,2,Superseded,0,Original Lease,0,1,2984,16490,62,11/1/2018,12/31/2023,,First Amendment,,0,43405,45291.0
4141,1653,xtxritti,4222,t0000531,2,Superseded,0,Original Lease,0,3,2983,8809,0,4/1/2021,,,5th Amendment,,0,44287,
4143,1667,xpa1peae,4234,t0000534,2,Superseded,0,Original Lease,0,A,2985,14400,60,1/1/2020,12/31/2024,,2nd Amendment,,150,43831,45657.0
4144,1667,xpa1peae,4235,t0000535,2,Superseded,0,Original Lease,0,B,2986,9711,97,1/19/2015,1/31/2023,2015-01-08,ORIGINAL,,0,42023,44957.0
4145,1668,xnj7550,4236,t0000536,1,Activated,0,Original Lease,0,7550,2987,22000,60,4/1/2021,4/1/2026,,ORIGINAL,,200,44287,46113.0
4146,1655,xnjcentr,4237,t0000537,2,Superseded,0,Original Lease,0,7055-1  //7055-2,2988//2989,30688,7,7/22/2021,1/31/2022,2021-07-22,ORIGINAL,,150,44399,44592.0
4151,1653,xtxritti,4249,t0000539,1,Activated,0,Original Lease,0,8,2981,17280,90,4/1/2018,10/30/2025,,4th Amendment,"Started in 4, added building 3, moved to building 8. Then added MTM for building 3, which was terminated 10/15/21",0,43191,45960.0
4152,1680,xil900b,4270,t0000540,1,Activated,0,Original Lease,0,A,2991,30307,89,1/1/2019,5/31/2026,2021-12-09,First Amendment,,150,43466,46173.0
4153,1680,xil900b,4271,t0000541,1,Activated,0,Original Lease,0,B,2992,13231,63,10/1/2020,12/31/2025,,,,125,44105,46022.0
4154,1679,xga9330,4272,t0000542,2,Superseded,0,Original Lease,0,9330,2993,22500,25,8/23/2021,8/31/2023,,,,150,44431,45169.0
4159,1598,xtxglen,4282,t0000543,1,Activated,0,Original Lease,0,3113,2735,115200,60,10/1/2021,9/30/2026,,Original Lease,,0,44470,46295.0
7922,3278,xfl7720p,7711,t0000716,2,Superseded,0,Original Lease,0,B-C,6052,55486,64,8/15/2021,11/30/2026,,Original Lease,,150,44423,46356.0
7923,3278,xfl7720p,7712,t0000717,2,Superseded,0,Original Lease,0,A,6051,42952,64,5/1/2020,8/31/2025,,Original Lease,,0,43952,45900.0
7924,1899,xil770ar,7714,t0000718,2,Superseded,0,Original Lease,0,780,4043,21741,36,6/1/2022,5/31/2025,2022-03-04,Orignal Lease,,150,44713,45808.0
7925,2988,xtx2125v,7715,t0000719,2,Superseded,0,Original Lease,0,,,26532,38,1/18/2022,2/28/2025,,Original,,200,44579,45716.0
6768,1383,xohmost,6639,t0000688,1,Activated,0,Original Lease,0,D,506,114027,87,3/1/2022,5/31/2029,2022-02-01,Original,,200,44621,47269.0
6770,2993,xfl4646g,6647,t0000689,2,Superseded,0,Original Lease,0,4646,5061,79188,306,1/1/1999,6/30/2024,,Second Amendment,,100,36161,45473.0
8360,3302,xnj121mo,8086,t0000742,2,Superseded,0,Original Lease,0,121,6284,62000,37,3/14/2022,3/31/2025,2022-03-14,Original,,200,44634,45747.0
8204,3301,xil121lo,7962,t0000731,2,Superseded,0,Original Lease,0,121,6283,20000,24,2/28/2022,2/28/2024,,Original Lease,,150,44620,45350.0
5422,1639,xtxdrysd,5458,t0000612,2,Superseded,0,Original Lease,0,9820,2930,26448,63,1/1/2022,3/31/2027,2021-12-01,,,200,44562,46477.0
5423,1733,xga5070,4628,t0000581,1,Activated,4,Termination,1,,,48276,0,12/31/2021,12/31/2021,,,,0,44561,44561.0
5424,1878,xnj125al,5459,t0000613,1,Activated,0,Original Lease,0,01,3850,21000,120,1/1/2020,12/31/2029,,3rd Amendment,,100,43831,47483.0
5425,1670,xga130j,4501,t0000580,1,Activated,1,Renewal,1,130,2978,38164,1,1/1/2022,1/31/2022,2021-10-26,First Amendment,,0,44562,44592.0
5426,1878,xnj125al,5460,t0000614,2,Superseded,0,Original Lease,0,02,3851,50000,38,8/1/2019,9/30/2022,,Original,,200,43678,44834.0
5427,1881,xnj30les,5461,t0000615,1,Activated,0,Original Lease,0,30,3852,23932,267,9/1/2000,11/30/2022,,2nd Amendment,There are two misc charges on the rent roll but I can't find them in the paperwork.  Please add if needed,100,36770,44895.0
5428,1787,xnj220r,5463,t0000616,2,Superseded,0,Original Lease,0,B,3507,23545,48,10/27/2019,10/26/2023,,Original,,150,43765,45225.0
5429,1884,xnj40pot,5464,t0000617,2,Superseded,0,Original Lease,0,01,3876,60994,60,11/1/2017,10/31/2022,,5th Amendment,,150,43040,44865.0
5430,1883,xnj5thor,5465,t0000618,1,Activated,0,Original Lease,0,01,3877,150801,120,11/1/2021,10/31/2031,,2nd Amendment,,200,44501,48152.0
5432,1885,xnj95bau,5467,t0000619,2,Superseded,0,Original Lease,0,01,4020,6792,46,9/1/2020,6/30/2024,,6th Amendment,Please note: Base Rent may change based on state mandated Covid Restrictions,200,44075,45473.0
5434,1873,xil529t,5294,t0000610,1,Activated,0,Original Lease,0,529,3849,62000,185,11/1/2013,3/31/2029,,,,150,41579,47208.0
5435,1879,xnj145al,5468,t0000620,2,Superseded,0,Original Lease,0,01      //03,3853//3855,7526,60,9/1/2019,8/31/2024,,4th Amendment,No Notation on Holdover Amount,100,43709,45535.0
5436,1879,xnj145al,5470,t0000621,1,Activated,0,Original Lease,0,02,3854,11777,63,7/1/2021,9/30/2026,,3rd Amendment,,200,44378,46295.0
5437,1880,xnj156al,5471,t0000622,2,Superseded,0,Original Lease,0,01,3857,5566,60,11/1/2017,10/31/2022,,2nd Amendment,No Note of Holdover Rate in lease,100,43040,44865.0
5438,1880,xnj156al,5472,t0000623,2,Superseded,0,Original Lease,0,02,3858,12216,36,5/1/2019,4/30/2022,,2nd Amendment,,200,43586,44681.0
5439,1882,xnj128ba,5473,t0000624,2,Superseded,0,Original Lease,0,01,3860,10341,61,9/1/2017,9/30/2022,,,"End date adjusted to 09/30/2022 per First Amendment Clause D.	In the event that the language of the Lease conflicts with the language of this Amendment, then the terms and conditions of this Amendment shall control. Otherwise, all terms and conditions of the Lease shall remain in full force and effect. This Amendment shall be governed by the internal laws of the State of New Jersey, excluding its conflicts of law principles.",200,42979,44834.0
5440,1882,xnj128ba,5474,t0000625,1,Activated,0,Original Lease,0,04,3862,10372,84,12/1/2015,11/30/2022,,1st Amendment,,150,42339,44895.0
5441,1882,xnj128ba,5476,t0000626,2,Superseded,0,Original Lease,0,02,3861,20631,60,8/1/2017,7/31/2022,,6th Amendment,Holdover per NJSA  2A:42-6,200,42948,44773.0
5442,1877,xnj19nev,5477,t0000627,2,Superseded,0,Original Lease,0,01,3873,101208,65,3/15/2019,7/31/2024,,Original,,150,43539,45504.0
5443,1877,xnj19nev,5478,t0000628,2,Superseded,0,Original Lease,0,02      //03,3874//3875,50591,61,12/10/2018,12/31/2023,,1st Amendment,Added Additional Space,200,43444,45291.0
5444,1876,xnj17pol,5479,t0000629,1,Activated,0,Original Lease,0,01,3863,8438,60,2/15/2021,1/31/2026,,1st Amendment,,200,44242,46053.0
5447,1876,xnj17pol,5480,t0000630,1,Activated,0,Original Lease,0,02,3864,17473,31,11/1/2020,5/31/2023,,6th Amendment,Expansion pushed to 06/01/2023,200,44136,45077.0
5448,1876,xnj17pol,5482,t0000631,2,Superseded,0,Original Lease,0,03,3865,18442,24,9/1/2020,8/31/2022,,12th Amendment,,100,44075,44804.0
5449,1876,xnj17pol,5483,t0000632,1,Activated,0,Original Lease,0,04,3866,15179,120,11/1/2021,10/31/2031,,2nd Amendment,Holdover is 150% for first month then 200% for all months thereafter,200,44501,48152.0
5450,1876,xnj17pol,5485,t0000633,2,Superseded,0,Original Lease,0,05,3867,14035,24,6/1/2020,5/31/2022,,2nd Amendment,Original Lease 4/1/99 - This is a lease assignment,100,43983,44712.0
5451,1876,xnj17pol,5486,t0000634,1,Activated,0,Original Lease,0,4.1,3868,20962,88,9/2/2021,12/31/2028,,Original,,200,44441,47118.0
5455,1372,xtndelp1,5499,t0000638,2,Superseded,0,Original Lease,0,4354,497,63840,12,1/1/2022,12/31/2022,2021-12-13,Original Lease,,200,44562,44926.0
5456,1892,xga4680n,5487,t0000635,1,Activated,0,Original Lease,0,4680,4023,60669,120,7/1/2020,6/30/2030,,,,150,44013,47664.0
5457,1893,xga5121b,5488,t0000636,1,Activated,0,Original Lease,0,5121,4024,31000,120,2/1/2020,1/31/2030,,,,150,43862,47514.0
5458,1894,xga2100b,5500,t0000639,1,Activated,0,Original Lease,0,2100,4022,103289,84,1/1/2022,12/31/2028,,,,125,44562,47118.0
5460,1897,xga800in,5501,t0000640,1,Activated,0,Original Lease,0,850-B,4026,25000,88,9/1/2019,12/31/2026,,,,200,43709,46387.0
5461,1886,xga4507m,5502,t0000641,2,Superseded,0,Original Lease,0,WARHSE,4030,87928,140,9/1/2013,4/30/2025,,Original Lease,PM Fee: 3% of Rent + CAM only,125,41518,45777.0
5462,1891,xil2500w,5504,t0000642,2,Superseded,0,Original Lease,0,2500,4027,13000,25,12/16/2021,12/31/2023,,,,200,44546,45291.0
5463,1886,xga4507m,5505,t0000643,2,Superseded,0,Original Lease,0,I,4029,4000,38,8/1/2020,9/30/2023,,,,150,44044,45199.0
5464,1886,xga4507m,5506,t0000644,2,Superseded,0,Original Lease,0,G-H,4028,12040,36,10/1/2021,9/30/2024,,Original Lease,,150,44470,45565.0
5468,2721,xga800wh,5511,t0000646,1,Activated,0,Original Lease,0,A,4040,58370,60,7/1/2021,6/30/2026,,,,0,44378,46203.0
5469,2721,xga800wh,5512,t0000647,2,Superseded,0,Original Lease,0,B,4041,1600,30,7/1/2021,12/31/2023,,,,150,44378,45291.0
5470,1790,xtnawg1,5508,t0000645,2,Superseded,0,Original Lease,0,4641,4038,287664,26,11/29/2021,12/31/2023,2021-11-29,,,150,44529,45291.0
5471,1791,xtnawg2,5513,t0000648,2,Superseded,0,Original Lease,0,4690,4039,145758,26,11/29/2021,12/31/2023,,,,150,44529,45291.0
5472,1899,xil770ar,5514,t0000649,2,Superseded,0,Original Lease,0,780,4043,21398,25,4/1/2020,4/30/2022,,,,150,43922,44681.0
22388,1584,xnjmway3,2318,t0000492,1,Activated,1,Renewal,2,A,1539,10550,5,9/1/2022,1/31/2023,,Renewal,,0,44805,44957.0
22389,1653,xtxritti,4221,t0000530,2,Superseded,2,Expansion,1,1       //2,2984//15750,16490,62,11/1/2018,12/31/2023,,Attach Unit,,0,43405,45291.0
30370,2723,xfl11660,6269,t0000670,2,Superseded,1,Renewal,1,11660,4683,65806,12,3/1/2023,2/29/2024,2022-12-01,Renewal Option 2,,0,44986,45351.0
20456,1586,xnjmway7,2316,t0000490,2,Superseded,1,Renewal,1,B,1581,20000,7,7/1/2022,1/31/2023,,M2M Renewal,,0,44743,44957.0
20457,1587,xnjmway9,2317,t0000491,1,Activated,2,Expansion,3,A1      //B,1583//1584,34205,60,5/1/2022,4/30/2027,,Expansion Amd,New Faropoint Lease for existing tenant. Do not bill Misc rent in May.  Working on sublease amd.,0,44682,46507.0
10075,3351,xnj121hi,9448,t0000751,2,Superseded,0,Original Lease,0,A,7640,20000,7,3/22/2022,10/21/2022,,Original,1.55 PSF to Rec after moveout.,200,44642,44855.0
10149,3356,xga401wi,9527,t0000753,1,Activated,0,Original Lease,0,401,7707,37500,432,12/1/1990,11/30/2026,,,,100,33208,46356.0
10241,3364,xtn3961o,9619,t0000756,2,Superseded,0,Original Lease,0,3961,7784,74906,6,4/1/2022,9/30/2022,,,,150,44652,44834.0
10151,2990,xga4600f,6536,t0000681,2,Superseded,1,Renewal,1,4600-F,4969,10000,36,4/1/2022,3/31/2025,,7th Amend,,0,44652,45747.0
6175,1675,xnj440be,4312,t0000557,1,Activated,4,Termination,1,,,343,0,12/31/2021,12/31/2021,,Termination,,0,44561,44561.0
6335,2723,xfl11660,6269,t0000670,2,Superseded,0,Original Lease,0,11660,4683,65806,24,3/1/2021,2/28/2023,,Original Lease,,0,44256,44985.0
6388,2724,xohcolu1,6320,t0000671,1,Activated,0,Original Lease,0,3000,4572,44000,120,4/1/2016,3/31/2026,,3rd Amendment,,200,42461,46112.0
6390,2727,xohcolu4,6322,t0000673,1,Activated,0,Original Lease,0,1161,4581,28808,116,1/1/2019,8/31/2028,,1st Amendment,,125,43466,46996.0
6391,2726,xohcolu3,6325,t0000674,2,Superseded,0,Original Lease,0,3040,4577,5875,72,2/1/2018,1/31/2024,,2nd Amendment,,125,43132,45322.0
6392,2724,xohcolu1,6326,t0000675,1,Activated,0,Original Lease,0,3004,4573,17850,60,10/1/2020,9/30/2025,,3rd Amendment,,200,44105,45930.0
6618,1788,xnj10tw,4907,t0000596,1,Activated,4,Termination,1,,,44000,0,12/31/2021,12/31/2021,,Termination,,0,44561,44561.0
7019,1888,xtx4201n,6906,t0000696,2,Superseded,0,Original Lease,0,100,4304,182500,253,12/3/2005,12/31/2026,,,,0,38689,46387.0
7020,1383,xohmost,3865,t0000498,1,Activated,4,Termination,2,,,114027,0,2/28/2022,2/28/2022,,Termination,T was on a short term lease with a LL 30 day notice period for termination which we executed.,0,44620,44620.0
7021,1896,xtx12150,6908,t0000697,1,Activated,0,Original Lease,0,120,4429,20551,86,8/1/2018,9/30/2025,,,,0,43313,45930.0
7022,1896,xtx12150,6909,t0000698,2,Superseded,0,Original Lease,0,112,4428,11030,60,4/1/2018,3/31/2023,,,,0,43191,45016.0
7026,1896,xtx12150,6920,t0000701,2,Superseded,0,Original Lease,0,104,4427,11436,59,10/22/2018,8/31/2023,,,,150,43395,45169.0
11759,1882,xnj128ba,5473,t0000624,1,Activated,1,Renewal,1,01,3860,10341,60,10/1/2022,9/30/2027,2022-05-18,First Amendment,,0,44835,46660.0
11856,1681,xga4225,11002,t0000778,1,Activated,0,Original Lease,0,104     //101,3014//3165,15477,63,6/1/2022,8/31/2027,2022-05-18,Original Lease,,150,44713,46630.0
11857,3388,xnj2050h,11005,t0000779,1,Activated,0,Original Lease,0,2050,9133,24000,61,4/20/2022,4/30/2027,,Original Lease,,200,44671,46507.0
