Lease Code,Customer Code,Customer Name,Tenant Name,Property Code,Property Address,State,Fund,Market,hMy,hCode,sCode,sName,DATE_HEADING,DATE_CREDITCHECK,CREDIT_SCORE,CREDIT_RATING,CREDIT_ATTACHMENT,CREDIT_NOTES,COMPANY_INFO,COMPANY_NAME,COMPANY_LOCATION,COMPANY_WEBSITE,COMPANY_YEARFOUNDED,COMPANY_DESCRIPTION,COMPANY_OWNERSHIP,COMPANY_INDUSTRY,COMPANY_GROUP,HEADERFINANACIALS,COMPANY_REVENUES,GROSS_PROFIT,COMPANY_EBIT,COMPANY_EBITDA,COMPANY_TOTAL_ASSETS,COMPANY_TOTAL_DEBT,ORIGINAL_CUSTOMER,ORIGINAL_SCODE,SLB Flag,Lease Status
t0000524,c0000643    ,"Sorroeix, LLC","Sorroeix, LLC",xtn225bo,225 Bobrick Drive,TN,FRG X                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000652,c0000292    ,"Forestwood Farms, Inc.","Forestwood Farms, Inc.",xtn225bo,225 Bobrick Drive,TN,FRG X                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0001006,c0000790    ,Redeem Plastics LLC,Redeemed Plastics,xtn225bo,225 Bobrick Drive,TN,FRG X                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000520,c0000521    ,"Oakley Industrial Machinery, Inc.","Oakley Industrial Machinery, Inc. ",xil1601 ,1601 Lunt Ave,IL,FRG X                                                                           ,Chicago,57,28933,!00001,,,9/30/2021 0:00,,3.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EX-0xf-5hJBMnySo2Bpmd4IBcmatq_g1D83psGXwuEErFA?e=H6ZNRv,Old credit score method. Score migrated from monday.com Contract board,,Oakley Industrial Machinery Inc.,,,,,,,,,,,,,,,,,,Current
t0000521,c0000218    ,"CSM Tube USA, Inc.","CSM Tube USA, Inc. ",xil1601 ,1601 Lunt Ave,IL,FRG X                                                                           ,Chicago,33,28149,!00001,,,9/30/2021 0:00,,3.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EaT0z2BgkSJFl0_t5e0qpowBJ9zNvsgEEEl2u499ZGUIuA?e=NZOTPx,Old credit score method. Score migrated from monday.com Contract board,,CSM Tube USA Inc.,,,,,,,,,,,,,,,,,,Current
t0000519,c0000068    ,"Acme Industries, Inc.","Acme Industries, Inc.",xil747  ,747-777 Chase Ave,IL,FRG X                                                                           ,Chicago,13,26926,!00001,,,10/4/2023 0:00,,5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EaHxsK5djmNChvDvibi5ajQByr8YMNXDniTUKOEHiQxKGg?e=pdO30J,0,,Acme Lock Company LLC,Cincinnati OH,https://www.acmelock.com/,1933,Safety and security devices,Private (Non-PE),Specialized Consumer Services,Business and consumer services,,6498394,2.54,3,620667,579083.47,403265.47,,,,Current
t0000518,c0000409    ,"KKSP Precision Machining, LLC","KKSP Precision Machining, LLC",xil1688 ,1688 Glen Ellyn Rd,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000516,c0000602    ,"RS Hughes Company, Inc.","RS Hughes Company, Inc. ",xil305e ,305 E North Ave,IL,FRG X                                                                           ,Chicago,64,29043,!00001,,,9/30/2021 0:00,,10,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ERmkk4eCRlxIpmvxyvwcWvMB7hcQ_STLPIyRjXK_8tHRSw?e=Uglh3C,Old credit score method. Score migrated from monday.com Contract board,,RS Hughes Company Inc.,,,,,,,,,,,,,,,,,,Current
t0000517,c0000570    ,"Professional Parts Group, LLC","Professional Parts Group, LLC",xil305e ,305 E North Ave,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0001039,c0000851    ,"The McAlear Group, Inc.",The McAlear Group,xil305e ,305 E North Ave,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000514,c0000367    ,"Insight North America, Inc.","Insight North America, Inc.",xil1600 ,1600 Hunter Rd,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000511,c0000726    ,Turbo Systems US Inc.,Turbo Systems US Inc.,xil1terr,1 Territorial Court,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000512,c0000676    ,Sunrun Inc.,Sunrun Inc.,xil1terr,1 Territorial Court,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000510,c0000573    ,"Proven Partners Manufacturing, LLC","Proven Partners Manufacturing, LLC",xil1111 ,1111 Bowes Rd,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000525,c0000257    ,"EIS of Tennessee, Inc.","EIS of Tennessee, Inc. ",xtn187bo,187 Bobrick Drive,TN,FRG X                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000534,c0000147    ,"Blendco Systems, LLC ","Blendco Systems, LLC (Dubois)",xpa1peae,1 Pearl Buck Court,PA,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000535,c0000546    ,"Penn Detroit Diesel Allison, LLC (NES)",Northeast-Western Energy Systems USA LLC,xpa1peae,1 Pearl Buck Court,PA,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000536,c0000285    ,"Flanagan's Towne Auto Enterprises III, Inc","Flanagan's Towne Auto Enterprises III, Inc",xnj7550 ,7550 North Crescent Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000580,c0000738    ,United Supply Industries LLC,United Supply Industries LLC,xga130j ,130 James Aldredge Boulevard ,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000745,c0000408    ,Kirnland Food Distribution Inc,Kirnland Food Distribution Inc,xga130j ,130 James Aldredge Boulevard ,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000544,c0000290    ,"Flying Fish Brewing Company, LLC","Flying Fish Brewing Company, LLC",xnj900k ,900 Kennedy Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000545,c0000454    ,"Material Handling Supply, Inc. (MHS Lift)","Material Handling Supply, Inc. (MHS Lift)",xnj6965 ,6965 Airport Highway Lane,NJ,FRG X                                                                           ,Philadelphia,49,28859,!00001,,,9/30/2021 0:00,,9.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETsan2OJ6lVEt4Rej74QCocBTdLQBT3krG5MDRTFVvQf7w?e=UA1czl,Old credit score method. Score migrated from monday.com Contract board,,Material Handling Supply Inc. (MHS Lift),,,,,,,,,,,,,,,,,Yes,Current
t0000548,c0000134    ,Bear Staffing Services,Bear Staffing Services,xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000554,c0000232    ,"DGI - Menard, Inc.","DGI - Menard, Inc.",xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000555,c0000447    ,"MacSERV, LLC","MacSERV, LLC",xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000556,c0000491    ,Momento,Momento,xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000557,c0000563    ,Premium Information Technology,Premium Information Technology,xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000558,c0000671    ,Studio 9Eight,Studio 9Eight,xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000561,c0000044    ,"Hit Promo, LLC","Hit Promo, LLC",xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000658,c0000645    ,"South State, Inc.","South State, Inc.",xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0001219,c0000946    ,"Somerset Contractors, LLC","Somerset Contractors, LLC",xnj440be,440 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000560,c0000044    ,"Hit Promo, LLC","Hit Promo, LLC",xnj420be,420 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000573,c0000407    ,Kings Management Company,Kings Management Company,xnj420be,420 Benigno Boulevard,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000547,c0000209    ,"Corporate Facility Services USA, LLC","Corporate Facility Services USA, LLC",xnj313c ,313 Church Street,NJ,FRG X                                                                           ,Philadelphia,31,28120,!00001,,,12/31/2022 0:00,,6.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETfIZFFC3atOi4zbQAjJc9gBpZQxYx-F9dRLSuyPkUmgVg?e=I4ADjj,Old credit score method. Score migrated from monday.com Contract board,,Corporate Facility Services USA LLC,,,,,,,,,,,,,,,,,Yes,Current
t0000549,c0000176    ,"CCJ, LLC","CCJ, LLC",xnj52col,52 Coles Road,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000542,c0000498    ,"Myers Tire Supply Distribution, Inc.","Myers Tire Supply Distribution, Inc.",xga9330 ,9330 Industrial Trace,GA,FRG X                                                                           ,Atlanta,55,28903,!00001,,,6/30/2023 0:00,,8.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ee_kd_KZxY1PsVKwl_8ecmQBiumDUxpiER412blGs_-kmg?e=UHUVWx,Old credit score method. Score migrated from monday.com Contract board,,Myers Tire Supply Distribution Inc.,,,,,,,,,,,,,,,,,Yes,Current
t0000540,c0000244    ,"Dynamic Rubber, Inc.","Dynamic Rubber, Inc. ",xil900b , 900 Business Center Drive,IL,FRG X                                                                           ,Chicago,35,28175,!00001,,,9/30/2021 0:00,,7.5,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000244-Dynamic%20Rubber/Dynamic%20Rubber.pdf?csf=1&web=1&e=Q0dqEz,Old credit score method. Score migrated from monday.com Contract board,,Dynamic Rubber Inc.,,,,,,,,,,,,,,,,,,Current
t0000541,c0000205    ,"Consolidated Electrical Distributors, Inc.","Consolidated Electrical Distributors, Inc. ",xil900b , 900 Business Center Drive,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000566,c0000383    ,Jeon Fa Trading Inc,Jeon Fa Trading Inc,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000567,c0000059    ,Quick & Box Group Inc.,Quick & Box Group Inc.,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000568,c0000059    ,Quick & Box Group Inc.,Quick & Box Group Inc.,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000569,c0000743    ,Victor Manzo,Victor Manzo,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000570,c0000609    ,Sau Ting Cheng,Sau Ting Cheng,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000571,c0000761    ,Xiancong Huang,Xiancong Huang,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000572,c0000370    ,International Central Gospel Church,International Central Gospel Church,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000778,c0000395    ,"KADDAK, LLC","KADDAK, LLC",xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000961,c0000440    ,Lucky River Seafood LLC,Lucky River Seafood,xga4225 ,4225 Phil Niekro Parkway,GA,FRG X                                                                           ,Atlanta,48,28528,!00001,,,12/31/2022 0:00,,4.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EdvleG7MDsJOuJSzli4WADwBfA_TOKZ2JgfW_67E_0Of9g?e=Lji91L,Old credit score method. Score migrated from monday.com Contract board,,Lucky River Seafood LLC,,,,,,,,,,,,,,,,,,Current
t0000553,c0000627    ,"Shingle & Gibb Automation, LLC","Shingle & Gibb Automation, LLC",xnj845l ,845 Lancer Drive,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000579,c0000317    ,"Global Concentrate, INC.","Global Concentrate, INC.",xnj1010 ,1010 Old Egg Harbor Road,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000759,c0000439    ,LS Elite LLC,LS Elite LLC,xtx2655 ,2655 Freewood Drive,TX,FRG X                                                                           ,Dallas,47,28527,!00001,,,12/31/2020 0:00,,7.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ea8FAzmyRUZJnZMKBBqwPzwB6hzTCGzk1D0bEXFevcXATQ?e=LkpbAF,Old credit score method. Score migrated from monday.com Contract board,,LS Elite LLC,,,,,,,,,,,,,,,,,,Current
t0000994,c0000783    ,"Express Home Service Holdings, LLC",Express Flooring,xtx1121 ,1121 108th Street,TX,FRG X                                                                           ,Dallas,83,29350,!00001,,,9/30/2022 0:00,,8.5,0,Old credit score method. Score migrated from monday.com Contract board,,Express Home Service Holdings LLC,,,,,,,,,,,,,,,,,,Current
t0000757,c0000101    ,"Amundsen Commercial Kitchens, Inc.","Amundsen Commercial Kitchens, Inc.",xtx1121 ,1121 108th Street,TX,FRG X                                                                           ,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000575,c0000695    ,The Delaney Hardware Co,The Delaney Hardware Co,xga265c ,265 Castleberry Industrial Drive,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Past
t0000768,c0000669    ,"StruXure Outdoor, LLC","StruXure Outdoor, LLC",xga265c ,265 Castleberry Industrial Drive,GA,FRG X                                                                           ,Atlanta,68,29136,!00001,,,9/30/2022 0:00,,7.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Eeh7HXeZjo9MlSJb_gBD9LUB6nrmW8dyGxlg-X0IaTpLlw?e=2xry7B,Old credit score method. Score migrated from monday.com Contract board,,StruXure Outdoor LLC,,,,,,,,,,,,,,,,,,Current
t0000578,c0000177    ,"CCL Label, INC.","CCL Label, INC.",xnj390n ,390 New Albany Road  ,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000577,c0000027    ,"A&R Logistics, Inc","A&R Logistics, Inc",xga4601 ,4601 Welcome All Road,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000965,c0000581    ,"Quantix SCS, LLC","Quantix SCS, LLC",xga4601 ,4601 Welcome All Road,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000583,c0000175    ,CC Image Group Inc,CC Image Group Inc,xgadors ,2009 Dorsey Road,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000584,c0000516    ,North Metro Trucking,North Metro Trucking,xgadors ,2009 Dorsey Road,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000585,c0000629    ,Si Chem LLC,Si Chem LLC,xgadors ,2009 Dorsey Road,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000586,c0000060    ,Randall Ventures LLC,Randall Ventures LLC,xgadors ,2009 Dorsey Road,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000590,c0000060    ,Randall Ventures LLC,Randall Ventures LLC,xgadors ,2009 Dorsey Road,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000604,c0000301    ,"G&W Products, LLC.","G&W Products, LLC.",xoh8655 ,8655 Seward Road,OH,FRG X                                                                           ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000601,c0000047    ,Northeast Building Products Corp.,Northeast Building Products Corp.,xpa12111,1211 Ford Road ,PA,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000602,c0000047    ,Northeast Building Products Corp.,Northeast Building Products Corp.,xpa327c ,327 East Chew Avenue,PA,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000607,c0000482    ,MI-KRO Industries,MI-KRO Industries ,xnj14th ,14-16 Thomas J Rhodes Industrial Drive,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000605,c0000461    ,Medical Indicators,Medical Indicators,xnj14th ,14-16 Thomas J Rhodes Industrial Drive,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000797,c0000497    ,Mule Extracts LLC,Mule Extracts LLC,xnj14th ,14-16 Thomas J Rhodes Industrial Drive,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000603,c0000718    ,Trane U.S. Inc.(DSM),Trane U.S. Inc.(DSM),xoh382c ,382 Circle Freeway Drive,OH,FRG X                                                                           ,Cincinnati,77,29265,!00001,,,9/30/2021 0:00,,8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ec_VIj5_Yv1BgNBlR6L6zagB0oZBRDWbUTxHM6VBASjQHQ?e=VPll5r,Old credit score method. Score migrated from monday.com Contract board,,Trane U.S. Inc.(DSM),,,,,,,,,,,,,,,,,,Current
t0000616,c0000537    ,"Panther Technologies, Inc.","Panther Technologies, Inc.",xnj220r ,220 Route 70,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000598,c0000061    ,RPI Industries Inc.,RPI Industries Inc.,xnj220r ,220 Route 70,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0001151,c0000856    ,"Simonik Transportation & Warehousing Group, LLC","Simonik Transportation & Warehousing Group, LLC",xnj220r ,220 Route 70,NJ,FRG X                                                                           ,Philadelphia,101,44480,!00001,,,10/25/2023 0:00,,3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUbwKHEDrFVLp4thiKOaD3wBi7hVsrwSWpBOrepoaLlV4w?e=1X2Wy1,0,,Simonik Transportation & Warehousing Group LLC,Lumberton NJ,https://www.simonikallied.com/,1977,Residential and commercial moving and storage company,Private (Non-PE),Cargo Ground Transportation,Transportation cyclical,,4397436.23,0.32,5,-475083.31,715202.84,696256.98,,,,Current
t0000596,c0000731    ,"U.S. Electrical Services, Inc.","U.S. Electrical Services, Inc.",xnj10tw ,10 Twosome Drive,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000927,c0000035    ,"Del-Val Food Ingredients, Inc.",Del Val Ingredients,xnj10tw ,10 Twosome Drive,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000608,c0000479    ,Mighty Cake Company LLC,Mighty Cake Company LLC,xil250n ,250 North Washtenaw Avenue,IL,FRG X                                                                           ,Chicago,52,28884,!00001,,,9/30/2021 0:00,,4.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EYkLvWy1tKNHkRyj5HISqVUBoXI_MSatefTi5qIZXSeaDQ?e=FB9jyM,Old credit score method. Score migrated from monday.com Contract board,,Mighty Cake Company LLC,,,,,,,,,,,,,,,,,Yes,Current
t0000645,c0000028    ,AWG Acquisition LLC,AWG Acquisition LLC,xtnawg1 , 4641 Burbank Road ,TN,FRG X                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000648,c0000028    ,AWG Acquisition LLC,AWG Acquisition LLC 2,xtnawg2 ,4690 Hungerford Road ,TN,FRG X                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000593,c0000494    ,Motorvation LLC,Motorvation LLC,xga1157 ,1157 Battlecreek Road,GA,FRG X                                                                           ,Atlanta,54,28899,!00001,,,11/7/2023 0:00,,3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EX05BrjrhqBCi2uBwCvPW1YB6yUM22uDlP-0lCnHzHbCzA?e=HL82Aj,0,,Motorvation LLC,Jonesboro GA,www.motorvationtrucks.com,2014,Specializes in selling pre-owned trucks.,Private (Non-PE),Specialized Consumer Services,Business and consumer services,,36034638.03,0.12,3,-608664.53,1339928.18,690000,,,Yes,Current
t0000581,c0000758    ,"Wood Image, Inc","Wood Image, Inc",xga5070 ,5070 Minola Drive,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Past
t0000677,c0000434    ,Li-Way Transfer & Storage Inc,Li-Way Transfer & Storage Inc,xga5070 ,5070 Minola Drive,GA,FRG X                                                                           ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0001040,c0000866    ,Ashanti Films Inc,Ashanti Films,xga5070 ,5070 Minola Drive,GA,FRG X                                                                           ,Atlanta,106,44490,!00001,,,9/30/2023 0:00,,7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ES_CHXW_Z-9GoWe0NJ5Kz0UBtEauNJuB9Qch4udg5Wy5sg?e=8BlO27,Old credit score method. Score migrated from monday.com Contract board,,Ashanti Films Inc,,,,,,,,,,,,,,,,,,Past
t0000594,c0000178    ,Centerpoint Marketing Inc.,Centerpoint Marketing Inc.,xil2101 ,2101 Arthur Avenue,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000595,c0000193    ,"Clingan Steel, Inc.","Clingan Steel, Inc.",xil2101 ,2101 Arthur Avenue,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0001197,c0000942    ,"Logisteed America, Inc.","Logisteed America, Inc.",xil2101 ,2101 Arthur Avenue,IL,FRG X                                                                           ,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000582,c0000751    ,"Webtech, INC","Webtech, INC",xnj108n ,108 North Gold Drive ,NJ,FRG X                                                                           ,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000696,c0000411    ,"KPS Global, LLC","KPS Global, LLC ",xtx4201n,4201 North Beach Street ,TX,FRG X                                                                           ,Dallas,44,28493,!00001,,,12/31/2021 0:00,,6.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ed0kxVMeJP9Amgo9UMXjRRUBz1mGS_FLQvVsFTitX8bR9w?e=eRhR5K,Old credit score method. Score migrated from monday.com Contract board,,KPS Global LLC,,,,,,,,,,,,,,,,,,Current
t0000654,c0000411    ,"KPS Global, LLC","KPS Global, LLC",xtx4201n,4201 North Beach Street ,TX,FRG X                                                                           ,Dallas,44,28493,!00001,,,12/31/2021 0:00,,6.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ed0kxVMeJP9Amgo9UMXjRRUBz1mGS_FLQvVsFTitX8bR9w?e=eRhR5K,Old credit score method. Score migrated from monday.com Contract board,,KPS Global LLC,,,,,,,,,,,,,,,,,,Past
t0000138,c0000635    ,Slaughter Industrial Fabrication Company,Slaughter Industrial Fabrication Company,tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000140,c0000201    ,"Commando Pressure Control, Inc.","Commando Pressure Control, Inc.",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000141,c0000243    ,DX Electric Company,DX Electric Company,tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000564,c0000386    ,"JL Texas Pallets & Logistics, LLC","JL Texas Pallets & Logistics, LLC",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000164,c0000355    ,"Houston Tents & Events, LLC","Houston Tents & Events, LLC",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000221,c0000637    ,"Smith Pump Company, Inc","Smith Pump Company, Inc",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000223,c0000122    ,"B&T Rentals, Inc","B&T Rentals, Inc",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000232,c0000276    ,"Falconview Manufacturing, LLC","Falconview Manufacturing, LLC",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000234,c0000275    ,Falconview Energy Products,Falconview Energy Products,tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000379,c0000369    ,"IntegriCert, LLC","IntegriCert, LLC",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000212,c0000372    ,"Interwell US, LLC","Interwell US, LLC",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000213,c0000143    ,"BK Industrial Solutions, LLC","BK Industrial Solutions, LLC",tx4se001,6810-6838 Bourgeois Rd.,TX,FRG IX                                                                          ,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
