customer hmy,parent customer hmy,customer code,customer name
29005,null,c0000577,Quad Graphics
29006,null,c0000578,"Quality Elevator Products Acquisitions, Inc."
29007,null,c0000579,Quality Incentive Company
29008,null,c0000580,Qualtek Wireline LLC
29009,null,c0000581,"Quantix SCS, LLC"
29010,null,c0000582,"Qwest Air Parts, Inc."
29024,null,c0000583,R.P. Acquisition Corporation
29025,null,c0000584,RainerMed LLC
29026,null,c0000585,Raymond of New Jersey LLC
29027,null,c0000586,"RD Foods America, Inc."
29028,null,c0000587,Red Dot Corporation
29029,null,c0000588,"Residential Enhancements, LLC"
29030,null,c0000589,"Rexel USA, Inc (Gexpro)"
29031,null,c0000590,"Ribbons Express, Inc."
29032,null,c0000591,Rite Rug Co.
29033,null,c0000592,"River Horse, DC, LLC"
29034,null,c0000593,Robert Bosch Automotive Steering LLC
29035,null,c0000594,Robmar Realty Associates
29036,null,c0000595,Rod Lovelace
29037,null,c0000596,"Romanoff Floor Covering, Inc."
29038,null,c0000597,Rory Walker
29039,null,c0000598,Rosen Materials LLC
29040,null,c0000599,Royal Packaging
29041,null,c0000600,RoyalUSA Distribution Inc.
29042,null,c0000601,RPM Truck Parts LLC
29043,null,c0000602,"RS Hughes Company, Inc."
29070,null,c0000603,S Shops LLC
29071,null,c0000604,"Sage GSE Services, LLC"
29072,null,c0000605,Sahni's Enterprises
29073,null,c0000606,"Saig Company of Tennessee, Inc."
29074,null,c0000607,"Samarkand Store, Inc"
29075,null,c0000608,"Sams Appliance Recycling, LLC"
29076,null,c0000609,Sau Ting Cheng
29077,null,c0000610,Schoolseed Foundation successor in interest to Memphis City Schools Foundation
29078,null,c0000611,Sea Air Freight Express Inc
29079,null,c0000612,"Seahorse Technologies, Inc"
29080,null,c0000613,Sealant Engineering
29081,null,c0000614,"Securitas Electronic Supply, Inc."
29082,null,c0000615,Security National Mortgage Corporation
29083,null,c0000616,Selective Enterprises Inc
29084,null,c0000617,"Seminole Wire & Cable Co., Inc."
29085,null,c0000618,"Semperit Industrial Products, Inc."
29086,null,c0000619,"Sentry Wiring Products, LLC"
29087,null,c0000620,"Serenity Restoration, LLC"
29088,null,c0000621,Service Master
29089,null,c0000622,Setzer's and Co. Inc.
29090,null,c0000623,"Sharpest Vision Refractive Surgery, PC"
29091,null,c0000624,"Sharstriji, LLC"
29092,null,c0000625,Shay Matyja and Courtney Matyja
29093,null,c0000626,Shelby County Government on behalf of its
29094,null,c0000627,"Shingle & Gibb Automation, LLC"
29095,null,c0000628,Shook & Fletcher Insulation Co.
29096,null,c0000629,Si Chem LLC
29097,null,c0000630,"Sielox, LLC"
29098,null,c0000631,Siemens Real Estate
29099,null,c0000632,"Sigma Global, Inc."
29100,null,c0000633,"Sigma Marble & Granite-Florida, Inc."
29101,null,c0000634,Sixth City Distribution LLC
29102,null,c0000635,Slaughter Industrial Fabrication Company
29103,null,c0000636,SM Transmissions Inc
29104,null,c0000637,"Smith Pump Company, Inc"
29105,null,c0000638,"Snap Tire, Inc."
29106,null,c0000639,Snyder's of Hanover
29107,null,c0000640,"Sofa and Mattress, Inc."
29108,null,c0000641,SOHANI TRADERS INC
29109,null,c0000642,"Solstice Sleep Products, Inc."
29110,null,c0000643,"Sorroeix, LLC"
29111,null,c0000644,Soul Circus Inc
29112,null,c0000645,"South State, Inc."
29113,null,c0000646,"Southeastern Industrial Tire, LLC"
29114,null,c0000647,Southern Champion Tray L.P.
29115,null,c0000648,Southern Masonry Company
29116,null,c0000649,Southern Pipe & Supply Company Inc
29117,null,c0000650,"Southern Wire, LLC"
29118,null,c0000651,"Southwest ADI, LLC"
29119,null,c0000652,"Sparq1200, LLC"
29120,null,c0000653,Specialized Medical Response Team
29121,null,c0000654,"Specialty Feeds, Inc."
29122,null,c0000655,"Speedy Sales & Services, LLC"
29123,null,c0000656,Sportzone Inc
29124,null,c0000657,Spruill Global Funding LLC
29125,null,c0000658,"SSG, Inc."
29126,null,c0000659,"SSM Industries, LLC"
29127,null,c0000660,"Staffing One, Inc"
29128,null,c0000661,Star Moving and Storage Company
29129,null,c0000662,Stat Medical Disposal Inc.
29130,null,c0000663,"Sterno Products, LLC"
29131,null,c0000664,Steven Schneider
29132,null,c0000665,Stirling Promotions
29133,null,c0000666,"Storopack, Inc."
29134,null,c0000667,Stragistics Technology Inc.
29135,null,c0000668,Streamline Enterprises LLC
29136,null,c0000669,"StruXure Outdoor, LLC"
29137,null,c0000670,Stryker Orthopaedics
29138,null,c0000671,Studio 9Eight
29139,null,c0000672,"STYLEX, INC"
29140,null,c0000673,"Sugaright, LLC"
29141,null,c0000674,"Summit Drilling Company, Inc"
29142,null,c0000675,Sun Badger Solar LLC
29143,null,c0000676,Sunrun Inc.
29144,null,c0000677,Sunshine Solar
29145,null,c0000678,Superior Supply Chain Management Inc
29146,null,c0000679,"Surfaces Construction Group, LLC"
29147,null,c0000680,Syncro Design Works LLC
29148,null,c0000681,Sysco Guest Supply LLC
29229,null,c0000682,TAJA LLC dba East Dallas Diesel
29230,null,c0000683,TB Auctions
29231,null,c0000684,TeamHealth
29232,null,c0000685,"TechnologyLab, LLC"
29233,null,c0000686,Ted I. Jones and Samuel J. Garrett
29234,null,c0000687,"Teijin Aramid USA, Inc."
29235,null,c0000688,"TELETECHSERV GA, LLC"
29236,null,c0000689,"Tenacity Fitness, LLC"
29237,null,c0000690,Tex Sun Shade
29238,null,c0000691,"TexPac Hide & Skin, LTD"
29239,null,c0000692,"The Children and Teenagers Foundation, Inc"
29240,null,c0000693,The Commencement Group Inc
29241,null,c0000694,The Creative Learning Workshop
29242,null,c0000695,The Delaney Hardware Co
29243,null,c0000696,The Gorilla Glue Company LLC
29244,null,c0000697,The ICEE Company
29245,null,c0000698,The Investors Academy Inc
29246,null,c0000699,The Kroger Co
29247,null,c0000700,The Kullman Firm
29248,null,c0000701,The Lamar Group
29249,null,c0000702,"The Moreno Law Firm, LLC"
29250,null,c0000703,The Palm Beach County Supervisor of Elections
29251,null,c0000704,The Printer Inc. (TPI)
29252,null,c0000705,"The Sauers Group, Inc."
29253,null,c0000706,The Terminix International Company
29254,null,c0000707,"Thomas Consultants, Inc."
29255,null,c0000708,Thorpe Products Company
29256,null,c0000709,Thriftmaster Global Holdings INC
29257,null,c0000710,"Tip Tig USA, Inc"
29258,null,c0000711,"TireHub, LLC"
29259,null,c0000712,Titan Solar Power TX Inc
29260,null,c0000713,"T-Mobile Northeast, LLC"
29261,null,c0000714,TomKat & Kreative Displays
29262,null,c0000715,Top Tier All Stars LLC
29263,null,c0000716,"Tormax USA, Inc"
29264,null,c0000717,"TradeForce, Inc"
29265,null,c0000718,Trane U.S. Inc.
29266,null,c0000719,Trang Phanoliver Sign Design LLC
29267,null,c0000720,Transamerica Premier Life Insurance
29268,null,c0000721,Tri State Tire Wholesale and Recycle LLC
29269,null,c0000722,"Trilogy Marketing, Inc."
29270,null,c0000723,"Trimaco, Inc."
29271,null,c0000724,Truesource Home Specialties LLC
29272,null,c0000725,TruGreen LP
29273,null,c0000726,Turbo Systems US Inc.
29274,null,c0000727,"Turknett Associates, Inc"
29275,null,c0000728,Tykables LLC
29276,null,c0000729,"Tyler Technologies, Inc."
29277,null,c0000730,"U.S. Architectural Glass & Metal, Inc."
29278,null,c0000731,"U.S. Electrical Services, Inc."
29279,null,c0000732,U.S. Navy
29280,null,c0000733,"Union City Forklift, Inc."
29281,null,c0000734,United Education Association of Shelby County
29282,null,c0000735,"United Refrigeration, Inc."
29283,null,c0000736,"United Rentals Realty, LLC"
29284,null,c0000737,"United States Technologies, Inc"
29285,null,c0000738,United Supply Industries LLC
29286,null,c0000739,"UST Select, Inc."
29287,null,c0000740,Vanguard Electric LLC
29308,null,c0000741,"Vaughn Marter, Inc."
29309,null,c0000742,VEO Diagnostics
29310,null,c0000743,Victor Manzo
29311,null,c0000744,"Victor Robbins Group, LLC"
29312,null,c0000745,Video Display Corporation
29313,null,c0000746,VIE DE France Yamazaki Inc
29314,null,c0000747,Vigomex Foods Wholesale Inc.
29315,null,c0000748,Vision Technologies LLC
29316,null,c0000749,"Vital Records Control, Inc."
29317,null,c0000750,"Vortex Aviation, LLC"
29318,null,c0000751,"Webtech, INC"
29319,null,c0000752,"Wells Lamont, LLC"
29320,null,c0000753,Werner Aero Services
29321,null,c0000754,WestRock Packaging Systems LLC
29322,null,c0000755,WEX LLC
29323,null,c0000756,"Whippany Athletic Club, LLC"
29324,null,c0000757,Will-Moor School of Gymnastics
29325,null,c0000758,"Wood Image, Inc"
29326,null,c0000759,"Xcision Medical Systems, LLC"
29327,null,c0000760,"XD Industries, Inc."
29328,null,c0000761,Xiancong Huang
29329,null,c0000762,"XPO Last Mile, Inc."
29330,null,c0000763,"XSE Group, Inc."
29331,null,c0000764,"YZER, LLC"
29332,null,c0000765,"Z&A Enterprises, LLC"
29333,null,c0000766,Z.One Concept USA
29334,null,c0000767,Zen Industrial Services LLC
29335,null,c0000768,"Zenith American Solutions, Inc"
29336,null,c0000769,"Zoxou, Inc."
29337,null,c0000770,Ericsson Inc.
29338,null,c0000771,Marcolin U.S.A. Eyewear Corp.
29339,null,c0000772,"Spartan Equity Group, LLC"
29340,null,c0000773,"Associated Pathologists, LLC"
29341,null,c0000774,"An Texas Region Management, Ltd."
29342,null,c0000775,"Biazzo Dairy Products, Inc."
29343,null,c0000776,Central National Gottesman Inc.
29344,null,c0000777,"Doskocil Manufacturing Company, Inc."
29345,null,c0000778,"The CMI Group, Inc."
29346,null,c0000779,"Custom Piping Systems, LLC"
29347,null,c0000780,"Compudata Products, Inc."
29348,null,c0000781,"McMillon Transportation & Logistics, LLC"
29349,null,c0000782,"Top Polymer Enterprise, LLC"
29350,null,c0000783,"Express Home Service Holdings, LLC"
29351,null,c0000784,"Mecklenburg Home Furniture and Mattress, Inc."
29352,null,c0000785,"Blackbeard Marine, Inc."
29353,null,c0000786,"Groundworks Operations, LLC"
29354,null,c0000787,"7-Eleven, Inc."
29355,null,c0000788,"Mitsubishi Electric Trane HVAC US, LLC"
29356,null,c0000789,BKS Industrial Coating LLC
29357,null,c0000790,Redeem Plastics LLC
29358,null,c0000791,A-1 Outlet Store Inc.
29359,null,c0000792,Merritt LLC
29360,null,c0000793,NJ/NY Gotham Football Club LLC
29361,null,c0000794,"Kensington Glass Arts, Inc."
29362,null,c0000795,"Darby Dental Supply, LLC"
29363,null,c0000796,State of Maryland
29364,null,c0000797,"Rademaker USA, LLC"
29365,null,c0000798,"Krishiv Foods, LLC"
29366,null,c0000799,"Ultimate Stone, Inc."
29367,null,c0000800,Mid-America Safety Corporation
29368,null,c0000801,"Benchmark Building Supply, Inc."
29369,null,c0000802,"Direct Cabinet Supply, LLC"
29370,null,c0000803,KJ's Discount Outlet LLC
29371,null,c0000804,"Foreman Turf Specialties, Inc."
29372,null,c0000805,LINCARE INC.
29373,null,c0000806,"Renewed Mind Worship Center, Inc."
29374,null,c0000807,"RAA Fiber, Inc."
29375,null,c0000808,"Club & Cycle, LLC"
29376,null,c0000809,Gorilla Rides LLC
29377,null,c0000810,"J&I Ventures, INC."
29378,null,c0000811,Triple Trading Inc.
29379,null,c0000812,"I-LOG, LLC"
29380,null,c0000813,"Goodman Decorating Co., Inc."
32081,null,c0000814,Atlanta Party Rentals
32082,null,c0000815,Georgia Prop Source
34070,null,c0000816,"Diagnostic Solutions International, LLC"
36815,null,c0000817,"Nephros, Inc."
36817,null,c0000818,"CSM Sport and Entertainment, Inc"
36818,null,c0000819,"Continental Drywall & Insulation, LLC"
36819,null,c0000820,"Fluid Fleet Services, LLC"
36820,null,c0000821,SILA-M LLC
36821,null,c0000822,"Thomas Scientific, LLC"
36822,null,c0000823,"Atlas Packaging, Inc."
36823,47834,c0000824,Clear Channel FL
36824,null,c0000825,"AER Manufacturing, LP"
36825,null,c0000826,"Starwood Motors, LLC"
36826,null,c0000827,"Redline Volleyball, LLC"
36827,null,c0000828,"Wine Retriever, LLC"
36828,null,c0000829,"Consolidated Clothiers, Inc."
36829,null,c0000830,"Worldpac, Inc."
36844,null,c0000831,Unknown - Teal Systems - Wilbanks
36867,null,c0000832,Provo Ventures LLC
36899,null,c0000833,BAR Group LLC
36900,null,c0000834,"Morningday Community Solutions, Inc."
36909,null,c0000835,Biloban Inc.
36931,null,c0000836,"AAAA Office and Warehouse Surplus, Inc."
36932,null,c0000837,"ABCO Garden State, LLC"
36933,null,c0000838,AMG Stone Inc.
36934,null,c0000839,Dematic Corp. LLC [Parent]
36935,null,c0000840,"Best Foot Forward Solution Services, LLC"
36936,null,c0000841,"Dana Safety Supply, Inc."
36937,null,c0000842,Dream Maker Events & Decors LLC
36938,null,c0000843,"Liberty Exchange Group, LLC"
36939,null,c0000844,"Martin Riley Associates Architects, P.C."
36940,null,c0000845,"Miller Environmental Group, Inc."
36941,null,c0000846,National Youth Advocate Program Inc.
36942,null,c0000847,"North America Auto Transportation, LLC"
36943,null,c0000848,PP21 Productions LLC
36944,null,c0000849,Ross Restoration Company LLC
36945,null,c0000850,"KGPCo Services, L.L.C."
36946,null,c0000851,"The McAlear Group, Inc."
36947,null,c0000852,"Tradavo, Inc."
38141,null,c0000853,Gatti-Morrison
43697,null,c0000854,"Volkswagen Group of America, Inc."
44479,null,c0000855,"Gaylor Electric, Inc."
44480,null,c0000856,"Simonik Transportation & Warehousing Group, LLC"
44481,null,c0000857,E & J Hospitality Inc.
44482,null,c0000858,Habegger Corporation
44483,null,c0000859,Public Service Electric and Gas Company
44484,null,c0000860,Stone Select LLC
44485,null,c0000861,Black Walnut LLC
44486,null,c0000862,Inter Chem Trading Corp
44487,null,c0000863,"TA Dispatch, LLC"
44488,null,c0000864,"Marathon Roofing, Inc."
44489,null,c0000865,"Flavine North America, Inc."
44490,null,c0000866,Ashanti Films Inc
44491,null,c0000867,Skala Manufacturing LLC
44492,null,c0000868,Penske Logistics LLC
44493,null,c0000869,"ALLTEL Communications, LLC"
44494,null,c0000870,"cbdMD, Inc."
44495,null,c0000871,Bestnest Inc.
44496,null,c0000872,"Atlas Copco Compressors, LLC"
44497,null,c0000873,"Bates Enterprises, Inc."
44498,null,c0000874,Core & Main LP
44499,null,c0000875,J.S. HELD LLC
44500,null,c0000876,"DASHLINK, INC."
44501,null,c0000877,"Remarkable Food Hospitality, LLC"
44502,null,c0000878,"Lincoln Technical Institute, Inc."
44503,null,c0000879,"Six Thirteen Originals, LLC"
44504,null,c0000880,"American Musical Supply, Inc."
44505,null,c0000881,Alison's Trading Corp.
44506,null,c0000882,"Z&Z Supply Merger Sub, LLC"
44507,null,c0000883,DJ Gym Mahwah LLC
44508,null,c0000884,"VBT Sub 2, LLC"
44509,null,c0000885,"Actives International, L.L.C."
44510,null,c0000886,"Biosil Technologies, Inc."
44511,null,c0000887,"Fuller Enterprise USA, Inc."
44512,null,c0000888,"KFT Fire Trainer, LLC"
44513,null,c0000889,"KingChem Life Science, LLC"
44514,null,c0000890,"PORVEN, LTD."
44515,null,c0000891,"Proximate Concepts, LLC & iNPLANT, LLC"
44516,null,c0000892,"Solid Surface Care, Inc."
44517,null,c0000893,"TBS Controls, LLC"
44518,null,c0000894,"US Med-Equip, LLC"
44519,null,c0000895,"SUMERU, LLC"
44520,null,c0000896,Vitalant
44521,null,c0000897,"CFC Group, LLC"
44522,null,c0000898,Howmedica Osteonics Corp.
44523,null,c0000899,CORMED USA INC.
44524,null,c0000900,Multi-Color Corporation
45860,null,c0000901,"MOVEX USA, Inc."
45862,null,c0000902,Krispy Kreme Donut Corporation
45863,null,c0000903,"Gemcap Investments, LLC"
45864,null,c0000904,"BES Associates, Corp."
45865,null,c0000905,"S and M Transportation, Inc."
45870,null,c0000906,EQUIPMENTSHARE.COM INC
45871,null,c0000907,L.B. Plastics Incorporated
45872,null,c0000908,Brasfield Gorrie
45874,null,c0000909,"BOXMAN STUDIOS, LLC"
45875,null,c0000910,"Christie Lites Orlando, LLC"
46528,null,c0000911,Confidential
46742,null,c0000912,Crown Packaging (MO Corp)
46909,null,c0000913,Cablevision Lightpath LLC
47834,null,c0000914,Clear Channel [Parent]
48701,null,c0000915,USA Family Moving of Atlanta LLC
48702,null,c0000916,Madina Industrial Corp
50933,null,c0000917,IMCD US LLC
50934,null,c0000918,Prime Egrocery Inc
50935,null,c0000919,Krowne Metal Coporation
51832,null,c0000920,Frontier Electric Supply Inc.
51940,null,c0000921,"Dallas Piano Tuners, LLC"
51941,null,c0000922,"Monk Holdings, LLC"
51942,null,c0000923,"Pro-Craft General Contractors, Inc."
51950,null,c0000924,"Best Buy Windows & Siding, LLC"
51951,null,c0000925,"Bobby Levy Construction, Inc."
51952,null,c0000926,"Centurylink Communications, LLC"
51953,null,c0000927,"Classic Agrimed, LLC"
51954,null,c0000928,"CP Strategies, Inc."
51955,null,c0000929,"Jerry Sharp & Holmaleski Holdings, LLC"
51956,null,c0000930,L2P Solutions
51957,null,c0000931,"Polatomic, Inc."
51958,null,c0000932,"Rahima, LLC"
51959,null,c0000933,"TGM, Incorporated"
51960,null,c0000934,"Tri-State Car Wash Supplies, LLC"
51961,null,c0000935,"Vercet, LLC"
51965,null,c0000936,"New WinCup Holdings, Inc."
51969,null,c0000937,"Beverly Knits, Inc."
51971,null,c0000938,Allmetal Inc.
51972,null,c0000939,"Zeus Scientific, Inc."
51987,null,c0000940,Edgardo Padilla dba E.P. Distribution
51990,null,c0000941,"EGL Motors, Inc."
51991,null,c0000942,"Logisteed America, Inc."
51992,null,c0000943,"RK Reeves & Associates, Inc."
52017,null,c0000944,Computechsale
52024,null,c0000945,"NYSE GROUP, INC."
52025,null,c0000946,"Somerset Contractors, LLC"
52026,null,c0000947,"Carnival Day, Inc."
52027,null,c0000948,"Eckart, LLC"
52028,null,c0000949,"A and A Quality Appliance, Inc."
52029,null,c0000950,Aalberts Surface Treatment Corp.
52030,null,c0000951,"Laker Partners, LLC"
52031,null,c0000952,WAB US Corporation
52043,null,c0000953,Jefryn Park Realty LLC
52085,null,c0000954,"MASTER’S, INC."
52100,null,c0000955,"Boston Barricade Company, Inc."
52109,null,c0000956,New York SMSA Limited Partnership
52110,null,c0000957,Unifoil Corporation
52112,null,c0000958,"B & D Industrial, Inc."
52113,null,c0000959,"Mash Enterprise, LLC"
52114,null,c0000960,Byokane (U.S.A.) Corp.
52115,null,c0000961,Centimark Corporation
52116,null,c0000962,"Delta Landscape Supply of Georgia, Inc"
52117,null,c0000963,"Eagle Abrasives, Inc."
52118,null,c0000964,"Jenkins Services and Restoration, Inc."
52122,null,c0000965,"Reliable Restoration, LLC"
53559,null,c0000966,Elevate Northland
53569,null,c0000967,Premio Sausage
53571,28370,c0000968,The Sherwin-Williams Company OH
53574,null,c0000969,USCutter Inc.
53575,null,c0000970,"AALP, LLC"
54340,72582,c0000971,Amazon.com Services LLC FL
54349,null,c0000972,"Midwest Industrial Rubber, Inc."
54372,null,c0000973,"Aluma-Form, Inc."
54401,36934,c0000974,Dematic Corp.
54481,null,c0000975,Bay Insulation of Tennessee Inc.
54482,null,c0000976,"The Juice Plus+ Company, LLC"
54487,null,c0000977,Mueller Streamline Co.
54488,null,c0000978,"Wholesale Glass Distributors, Inc."
54489,null,c0000979,"Roadrunner Transportation Systems, Inc."
54490,null,c0000980,PAS Reform North America LLC
54496,null,c0000981,"Caribbean Shipping Services, Inc."
54497,null,c0000982,"Level 3 Telecom of Tennessee, LLC"
54498,null,c0000983,MVision Trucking LLC
54499,null,c0000984,Arnett Logistics Group LLC
54500,null,c0000985,"All-N-Express, LLC"
54501,null,c0000986,CP Rankin Inc.
54502,null,c0000987,Evoqua Water Technologies LLC
54503,null,c0000988,Kee Pest Control Inc.
54504,null,c0000989,"Precision of New Hampton, Inc."
54505,null,c0000990,"William R. Eubanks Interior Design, Inc."
54520,null,c0000991,"ITR America, LLC"
54530,null,c0000992,"Air-Van, Inc."
54723,null,c0000993,"AJC Logistics, LLC"
55209,null,c0000994,Birner Memphis LLC
55210,null,c0000995,"Network Communications Systems, LLC"
55383,null,c0000996,"La Michoacana Wholesale, Inc."
55443,null,c0000997,Shearer Supply Inc.
55447,null,c0000998,"ASM Assembly Systems, LLC"
55450,null,c0000999,"Worksite Consultants, LLC"
56130,null,c0001000,"Pressmaster, Inc."
