hmy_creditscore,hmyperson_customer,customer code,customer name,date,credit score,report link,notes,company name,company location,company website,year founded,description,ownership,primary industry,comp. position industry group,annual revenue,gross profit,ebit,ebitda,total assets,total debt
64,29043,c0000602,"RS Hughes Company, Inc.",9/30/2021,10,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ERmkk4eCRlxIpmvxyvwcWvMB7hcQ_STLPIyRjXK_8tHRSw?e=Uglh3C,Old credit score method. Score migrated from monday.com Contract board,RS Hughes Company Inc.,,,null,,,,,null,null,null,null,null,null
65,29087,c0000620,"Serenity Restoration, LLC",4/28/2022,9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZrKtghniZJMo79nJ90N4xUBdfFHXqtn-iIJojcATlbucQ?e=MIahSR,Old credit score method. Score migrated from monday.com Contract board,Serenity Restoration LLC,,,null,,,,,null,null,null,null,null,null
66,29105,c0000638,"Snap Tire, Inc.",9/30/2022,7.2,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ecigkx7QMrVJpTxprlKe2V4B8YtVxrE5LN1VPAqjxnWCMQ?e=bV4My4,Old credit score method. Score migrated from monday.com Contract board,Snap Tire Inc.,,,null,,,,,null,null,null,null,null,null
160,29105,c0000638,"Snap Tire, Inc.",8/8/2024,3.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ecigkx7QMrVJpTxprlKe2V4B8YtVxrE5LN1VPAqjxnWCMQ?e=hPVWYj,,"Snap Tire, Inc.","Jonesboro, GA",https://snaptireonline.com,2015,Tire sales and services for budget-conscious customers.,Private (Non-PE),Automotive Retail,Retail And Restaurants,16838589,3262084,0,-415477,0,0
67,29128,c0000661,Star Moving and Storage Company,9/30/2022,7.5,0,Old credit score method. Score migrated from monday.com Contract board,Star Moving and Storage Company,,,null,,,,,null,null,null,null,null,null
68,29136,c0000669,"StruXure Outdoor, LLC",9/30/2022,7.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Eeh7HXeZjo9MlSJb_gBD9LUB6nrmW8dyGxlg-X0IaTpLlw?e=2xry7B,Old credit score method. Score migrated from monday.com Contract board,StruXure Outdoor LLC,,,null,,,,,null,null,null,null,null,null
69,29139,c0000672,"STYLEX, INC",12/31/2021,7.1,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ea0yQhFfyjVOrlPfO5SXGo8BwkZXkbFG0cfBW9PtxvcZBQ?e=7sPfBF,Old credit score method. Score migrated from monday.com Contract board,STYLEX INC,,,null,,,,,null,null,null,null,null,null
70,29140,c0000673,"Sugaright, LLC",12/31/2020,5.9,0,Old credit score method. Score migrated from monday.com Contract board,Sugaright LLC,,,null,,,,,null,null,null,null,null,null
71,29229,c0000682,TAJA LLC dba East Dallas Diesel,9/30/2022,6,0,Old credit score method. Score migrated from monday.com Contract board,TAJA LLC dba East Dallas Diesel,,,null,,,,,null,null,null,null,null,null
72,29235,c0000688,"TELETECHSERV GA, LLC",9/30/2022,6.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZnK96LeIp5Fp7n6NoZkcIkBzL3gfzIxj678yqkC4xCLSw?e=gcvN26,Old credit score method. Score migrated from monday.com Contract board,TELETECHSERV GA LLC,,,null,,,,,null,null,null,null,null,null
73,29237,c0000690,Tex Sun Shade,9/9/2023,4.9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EYJ3KByWAYxBu2ZH7HaR3TABbKBBDaM4dRpAJzczes7tyw?e=E7141J,0,Tex-Sun Shade Specialities Inc.,Dallas TX,https://tex-sun.com/,1948,Commercial and residential window treatments.,Private (Non-PE),Home Improvement Retail,Retail and restaurants,1154084,1.79,3,85858,174234.8,109291.8
74,29238,c0000691,"TexPac Hide & Skin, LTD",12/31/2020,5.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EV0TNGFSP5BJpxZA4G2jZUABh8LmTg4FoBFzDHdzfUHP5A?e=adkb5k,Old credit score method. Score migrated from monday.com Contract board,TexPac Hide & Skin LTD,,,null,,,,,null,null,null,null,null,null
75,29251,c0000704,The Printer Inc. (TPI),12/31/2022,6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWfjJoHWXHFHvRAk_D9h0MsB7tQFpzLRcG4W93PUfJZH1Q?e=M5qriC,Old credit score method. Score migrated from monday.com Contract board,The Printer Inc. (TPI),,,null,,,,,null,null,null,null,null,null
76,29259,c0000712,Titan Solar Power TX Inc,6/30/2021,8.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EQPpQAARBMZEoXKGHYFIHV4BIEHO1ir2ThMYs9DeEFUIMw?e=zadC22,Old credit score method. Score migrated from monday.com Contract board,Titan Solar Power TX Inc,,,null,,,,,null,null,null,null,null,null
128,29263,c0000716,"Tormax USA, Inc",1/15/2024,5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EdZFIgqeWN5Hl39zEgRcMEUBlxwnTMeNrY12H-YdPCvRnw?e=RamfLh,,"Tormax USA, Inc","San Antonio, TX",https://www.tormaxusa.com/,1997,Manufacturer of automatic pedestrian and industrial door systems,Private (Non-PE),Building Products,Building materials,30395341,9490283,2269786,2645326,16224137,10128650
77,29265,c0000718,Trane U.S. Inc.,9/30/2021,8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ec_VIj5_Yv1BgNBlR6L6zagB0oZBRDWbUTxHM6VBASjQHQ?e=VPll5r,Old credit score method. Score migrated from monday.com Contract board,Trane U.S. Inc.(DSM),,,null,,,,,null,null,null,null,null,null
78,29320,c0000753,Werner Aero Services,9/30/2022,7.4,0,Old credit score method. Score migrated from monday.com Contract board,Werner Aero Services,,,null,,,,,null,null,null,null,null,null
183,29320,c0000753,Werner Aero Services,11/22/2024,3.88,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EXQ9DiQCfKlHgV78CMrWYtIB_7q2hXCfFLZCy1FTJ_ahWQ?e=hfMOEk,,Werner Aero Services,"Mahwah, NJ",https://werneraero.com/,1993,Aviation asset management and aftermarket support.,Private (Non-PE),Aerospace and Defense,Aerospace & Defense,16495472,7093037,null,1841500,null,null
134,29326,c0000759,"Xcision Medical Systems, LLC",5/26/2024,3,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000759_Xcision%20Medical%20Systems,%20LLC/FP%20TCE_v6.68%20-%20Xcision%20(2024-05-26).pdf?c",,"Xcision Medical Systems, LLC","Columbia, MD",https://xcision.com/,2006,Develops breast cancer radiotherapy systems.,Private (PE),Health Care Equipment,Health Care Equipment,2411942,-285723,-2404945,-2404945,1852639,8350145
79,29331,c0000764,"YZER, LLC",9/30/2022,7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EalTCtx_fI5Hlp4b2iiSzq8BguHUXlhPlfqfvGcDcYS4IQ?e=ahb9EV,Old credit score method. Score migrated from monday.com Contract board,YZER LLC,,,null,,,,,null,null,null,null,null,null
157,29332,c0000765,"Z&A Enterprises, LLC",6/24/2024,3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUI2glAOFKpBmrgqaFXWiBQBI5Peb7L80TAtUOi7e4j0iw?e=YhGquL,,"Z&A Enterprises, LLC","Dallas, TX",,2017,An audio wholesaler specializing in professional gear.,Private (Non-PE),Technology Distributors,Technology Hardware And Semiconductors,1102325,272278,182674,182674,3465,0
154,29333,c0000766,Z.One Concept USA,5/22/2024,6.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ERbr8LYxBUZElMQ2FdAsIyABaZKUhmljLEC44lfuJ0Y30g?e=qSENbU,,Z.One Concept USA,"Wayne, NJ",https://www.z-oneconcept.com/en/,2012,Provides professional hair care products and services.,Private (Non-PE),Personal Care Products,Branded Nondurables,21208482,0,0,5683551,0,0
80,29339,c0000772,"Spartan Equity Group, LLC",6/30/2023,2.9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EQDfu6O2BLhEhxtZC2UM2H8B5Q244yIJbNEECPtpEAQrpQ?e=8LYA1g,Old credit score method. Score migrated from monday.com Contract board,Spartan Equity Group LLC,,,null,,,,,null,null,null,null,null,null
81,29342,c0000775,"Biazzo Dairy Products, Inc.",7/3/2023,6.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Eead5JoejKdJsmwGw6Y_b0MBHLdkO1w_rATzX6rxVJGf0g?e=U9DFeb,This report was the first prototype of the new Credit score method. Final report looks diferent than the later templates,Biazzo Dairy,Ridgefield NJ,https://www.biazzo.com/,1964,Cheese manufacturer,Private (Non-PE),Packaged Foods and Meats,Branded nondurables,39626512,0,0,0,2400000,2400000
82,29346,c0000779,"Custom Piping Systems, LLC",12/31/2022,7.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ER_mBx9gIA1Hg-JXUi2wcyABgETpLYOVhiA1wWBflHJ1qA?e=B9NAgh,Old credit score method. Score migrated from monday.com Contract board,Custom Piping Systems LLC,,,null,,,,,null,null,null,null,null,null
83,29350,c0000783,"Express Home Service Holdings, LLC",9/30/2022,8.5,0,Old credit score method. Score migrated from monday.com Contract board,Express Home Service Holdings LLC,,,null,,,,,null,null,null,null,null,null
84,29356,c0000789,BKS Industrial Coating LLC,9/30/2022,6,0,Old credit score method. Score migrated from monday.com Contract board,BKS Industrial Coating LLC,,,null,,,,,null,null,null,null,null,null
85,29359,c0000792,Merritt LLC,3/31/2023,5.7,0,Old credit score method. Score migrated from monday.com Contract board,Merritt LLC,,,null,,,,,null,null,null,null,null,null
86,29360,c0000793,NJ/NY Gotham Football Club LLC,3/31/2023,5.1,0,Old credit score method. Score migrated from monday.com Contract board,NJ/NY Gotham Football Club LLC,,,null,,,,,null,null,null,null,null,null
87,29364,c0000797,"Rademaker USA, LLC",12/31/2022,7.1,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EXQfXY0Usj9Cg_GCm29_hl0BNL_nEW2Xg3ZcKeDpsMe0BA?e=QvoUMn,Old credit score method. Score migrated from monday.com Contract board,Rademaker USA LLC,,,null,,,,,null,null,null,null,null,null
88,29366,c0000799,"Ultimate Stone, Inc.",12/31/2022,8.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZQhuhVheVpPi76bjhxlv90BIJi7PYPbPkkb_RPP8-oCVQ?e=nHikMo,Old credit score method. Score migrated from monday.com Contract board,Ultimate Stone Inc.,,,null,,,,,null,null,null,null,null,null
89,29368,c0000801,"Benchmark Building Supply, Inc.",12/31/2022,8.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EVjWJjuOwJ9JgyeU_j2h-mABP3UF3uOpV6-L0F5oEeM5zw?e=BpeQYD,Old credit score method. Score migrated from monday.com Contract board,Benchmark Building Supply Inc.,,,null,,,,,null,null,null,null,null,null
90,29370,c0000803,KJ's Discount Outlet LLC,3/31/2023,5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EfrasNb0IT9Il-kRx3sHhpgBZL0zfU4HPnL14qpkeBtFoA?e=CuS7yx,Old credit score method. Score migrated from monday.com Contract board,KJ's Discount Outlet LLC,,,null,,,,,null,null,null,null,null,null
175,29372,c0000805,LINCARE INC.,1/18/2025,7.84,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EdixGNb8c09Er_ls6cMYpQYBojYPd71AZLSKv4vhYM_Vhw?e=mcNFGm,,Lincare Inc,Dublin,https://www.linde.com/,1879,Global provider of industrial gases and healthcare services.,Public,Industrial Gases,Specialty Chemicals,32854000000,15362000000,null,12133000000,null,null
91,29379,c0000812,"I-LOG, LLC",12/31/2022,8,0,Old credit score method. Score migrated from monday.com Contract board,I-LOG LLC,,,null,,,,,null,null,null,null,null,null
92,29380,c0000813,"Goodman Decorating Co., Inc.",9/30/2023,5.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZSn0jkkSoJHgdO710wuD4wBq6H8lU8PtXf3AaIrwRreNg?e=bKF7uA,Old credit score method. Score migrated from monday.com Contract board,Goodman Decorating Co. Inc.,,,null,,,,,null,null,null,null,null,null
93,36820,c0000821,SILA-M LLC,6/30/2023,2.9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EdjgAY1ZPNZArTFNOR9xK4UB2Mwz1Y7ubXiPs9xqsw07ig?e=FeZN9l,Old credit score method. Score migrated from monday.com Contract board,SILA-M LLC,,,null,,,,,null,null,null,null,null,null
94,36822,c0000823,"Atlas Packaging, Inc.",11/17/2023,6.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EVV5XQu-p7tHjfTm4Moej0UBbNXxFM6TdvXjRuOWdxUIpA?e=36Ungi,0,Atlas Packaging Inc.,Opa Locka FL,https://www.atlaspackaginginc.com/,1980,Manufacturer and distributor of packaging products,Private (Non-PE),Paper and Plastic Packaging Products and Materials,Containers and packaging,17669339.91,3.13,3,2167499.13,1950966.03,1017632.7
95,36932,c0000837,"ABCO Garden State, LLC",6/30/2023,6.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZaiZc7X_yJJjacb0lQRdVIB_caY3eKgSJSnUXhrKM5DUA?e=fcIB7m,Old credit score method. Score migrated from monday.com Contract board,ABCO Garden State LLC,,,null,,,,,null,null,null,null,null,null
96,36933,c0000838,AMG Stone Inc.,8/22/2023,3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EadxP92QK89Ks-CyPQvMC6kBFK0YC52q6EnKPS5Tc2xauQ?e=VyRw3M,0,AMG Stone Inc.,Balock Malaysia,https://zd-stone.com.my/,2007,Manufacturer of quartz products,Private (Non-PE),Building Products,Building materials,5677267.76,6.92,4,0,62135.45,62135.45
97,36936,c0000841,"Dana Safety Supply, Inc.",9/30/2023,7.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ea_nLQwBVP9Hgpy8xoeaHG8Bcw_RG3SP_jwjyYqXhjCXyw?e=5SUC9b,Old credit score method. Score migrated from monday.com Contract board,Dana Safety Supply Inc.,,,null,,,,,null,null,null,null,null,null
98,36937,c0000842,Dream Maker Events & Decors LLC,6/30/2023,5,0,Old credit score method. Score migrated from monday.com Contract board,Dream Maker Events & Decors LLC,,,null,,,,,null,null,null,null,null,null
99,36944,c0000849,Ross Restoration Company LLC,6/30/2023,8,0,Old credit score method. Score migrated from monday.com Contract board,Ross Restoration Company LLC,,,null,,,,,null,null,null,null,null,null
100,44479,c0000855,"Gaylor Electric, Inc.",11/28/2023,6.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETNtVfabb7xMjybX8yDuuocBLoRJZPIlE4MebvNi0y0JkQ?e=INgGIt,0,Gaylor Electric Inc.,Indianapolis IN,https://www.gaylor.com/,1984,Provides electrical construction services,Private (Non-PE),Electrical Components and Equipment,Capital goods,451452650,19.43,3,19571550,1219452,1061982
101,44480,c0000856,"Simonik Transportation & Warehousing Group, LLC",10/25/2023,3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUbwKHEDrFVLp4thiKOaD3wBi7hVsrwSWpBOrepoaLlV4w?e=1X2Wy1,0,Simonik Transportation & Warehousing Group LLC,Lumberton NJ,https://www.simonikallied.com/,1977,Residential and commercial moving and storage company,Private (Non-PE),Cargo Ground Transportation,Transportation cyclical,4397436.23,0.32,5,-475083.31,715202.84,696256.98
102,44482,c0000858,Habegger Corporation,10/3/2023,6.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EQbvpCDgTfRAjXqkOSHTFeUBu-E_S4jMCUxp2qUf_fFZww?e=Pcebsg,0,The Habegger Corporation,Cincinnati OH,https://www.habeggercorp.com/,1952,Distributor of heating and air conditioning products,Private (Non-PE),Trading Companies and Distributors,Capital goods,506624000,6.88,3,34738000,5910000,5910000
103,44484,c0000860,Stone Select LLC,9/18/2023,4.1,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZ3Iz82ItB9Igkq_1K22zAcBgvvpSTHPVZFrRJGHmAJE7A?e=T59t2H,0,Stoneselect LLC,Dallas TX,https://www.stoneselectgranite.com/,2012,Installer of countertops (quartz/granite/marble/etc),Private (Non-PE),Construction and Engineering,Engineering and construction,723959.02,5.55,3,290997.1,63980.55,63980.55
104,44485,c0000861,Black Walnut LLC,9/7/2023,3.2,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EbFELC0aKYpHreHV434uMLgBRsymcqBLfbIXtCKm8Udeag?e=ulWod4,0,Blackwalnut LLC,Valley Cottage NY,https://blackwalnut.tv/,2003,Fabricator of environments for media and entertainment,Private (Non-PE),Broadcasting,Media and entertainment,6517555.34,1.1,3,39895.3,746462.82,403788.11
105,44489,c0000865,"Flavine North America, Inc.",9/1/2023,5.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESlyQYjDn71FiYqrOmEn4-QBq_GEtU2Jp3znyGjCElfcPQ?e=xeqpOV,0,Flavine North America Inc.,Paramus NJ,https://www.flavine.com/north-america/,1975,Marketing and distribution for pharma ingredients,Private (Non-PE),Pharmaceuticals,Pharmaceuticals,62850542,16.69,2,3467846,359996.57,221000
106,44490,c0000866,Ashanti Films Inc,9/30/2023,7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ES_CHXW_Z-9GoWe0NJ5Kz0UBtEauNJuB9Qch4udg5Wy5sg?e=8BlO27,Old credit score method. Score migrated from monday.com Contract board,Ashanti Films Inc,,,null,,,,,null,null,null,null,null,null
107,44494,c0000870,"cbdMD, Inc.",8/14/2023,4.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETBsLmMM5ANLlZyj15hXL24B9UB1b2gadfyHLP-ZeVVGQw?e=CVyyGP,0,cbdMD Inc.,Charlotte NC,https://www.cbdmd.com/,2015,CBD Manufacturer / Distributor,Public,Personal Care Products,Branded nondurables,35403224,-8.89,2,0,1391856,1391856
108,44495,c0000871,Bestnest Inc.,10/13/2023,4.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWeZmmw3rvVIvqcUNLcKz3ABex7A57BRT8q2yNFR9TRiiw?e=EooGDM,0,BestNest Inc.,Cincinnati OH,https://www.bestnest.com,1999,Online retailer of products for wildlife care and outdoor living.,Private (Non-PE),Food Retail,Retail and restaurants,23999874.08,3.32,3,1602488.14,1083874.32,689793.86
109,44496,c0000872,"Atlas Copco Compressors, LLC",8/14/2023,8.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZMTmfGLto1KrsVqJGJe1fgB_s11J8X1rYLxMO9Bls9XIw?e=MpXqL0,0,Atlas Copco AB,Nacka Sweden,www.atlascopcogroup.com,1873,Industrial Tools / Equipment Manufacturer,Public,Industrial Machinery and Supplies and Components,Capital goods,13553067500,45.98,3,0,1900333.33,967000
110,44498,c0000874,Core & Main LP,8/14/2023,7.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EYmFcA_rpotJiRNtXmkyEtsBgmgyMGZraJ0mTd_VgTs04g?e=xkajgb,0,Core & Main Inc.,St. Louis MO,https://coreandmain.com/,1874,Specialty Distributor (Pipes/Valves),Public,Trading Companies and Distributors,Capital goods,6651000000,14.55,3,0,69000000,69000000
111,44502,c0000878,"Lincoln Technical Institute, Inc.",9/21/2023,4.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWBwU8MXqPlGhWt6z0AkqpAB4Ds6cSibcW1bBZ5-JkAijA?e=C0Iepw,0,Lincoln Educational Services Corporation,West Orange NJ,https://www.lincolntech.edu/,1946,Provider of technical skills training,Public,Education Services,Business and consumer services,348287000,2.24,3,23512000,19854828.95,18900000
112,44503,c0000879,"Six Thirteen Originals, LLC",9/1/2023,5.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EaNdh3CTVZJOvPstwmUu7tsBvmubPcgU2dGoIOfUcewBiA?e=z1mIU6,0,613 Originals LLC,18 Industrial Ave C Mahwah NJ 07430,https://www.613originals.com/,2017,Produces and distributes heat transferers,Private (Non-PE),Textiles,Consumer durables,29988728.47,12.78,3,11871015.8,1332885.77,1007772
113,44504,c0000880,"American Musical Supply, Inc.",9/21/2023,6.1,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EXfLSDMs_zpIk8z3QLhn10EBjaJE_HaBtaAuZVHZkRghog?e=ROK0rY,0,"""American Musical Supply Inc. (""""AMS"""")""",Oakland NJ,https://www.americanmusical.com/,1986,Online musical instrument retailer and wholesale supplier,Private (Non-PE),Other Specialty Retail,Retail and restaurants,335846346,83.55,3,24047603,291316.67,291316.67
114,44505,c0000881,Alison's Trading Corp.,9/25/2023,5.2,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EXFIqaJf1ctHiy0nuCe4N1wBHV5MjhSFpbVZn9WOv6aSow?e=3JTyK7,0,Alison's Trading Corp. d/b/a Alison's Montessori and Educational Materials,Mahwah NJ,https://www.alisonsmontessori.com/,2006,Distributor of educational products,Private (Non-PE),Other Specialty Retail,Retail and restaurants,4603706.47,3.06,3,514747.14,430459.47,249857.82
115,44507,c0000883,DJ Gym Mahwah LLC,9/21/2023,4.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EaqozVyzK1xBmYzWVecn2DYBSDl8sNN8yN2_yV4LCoLQ3w?e=tBuqiv,0,DJ Gym Mahwah LLC,Roseland NJ,0,0,0,Private (Non-PE),Health Care Services,Health care services,1308986.74,1.59,2,202911.09,548677.6,342019.16
129,44510,c0000886,"Biosil Technologies, Inc.",12/23/2023,5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ER8toqdq_3tAuTlVxr0QXR4BJHptOBvdp9wHI5p-RRu76w?e=XfjUJ5,,"Biosil Technologies, Inc","Allendale, NJ",https://www.biosiltech.com/,1993,"Supplier of specialty ingredients for skin/hair care, & color cosmetics.",Private (Non-PE),Specialty Chemicals,Specialty chemicals,4172530,1842440,190006,192737,2330242,0
116,44512,c0000888,"KFT Fire Trainer, LLC",9/1/2023,3.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ea7RGVchATxKiM0gG9JGFL4B3gGJDpPNoIUzE_u_lRO51A?e=thRN93,0,KFT International LLC (f/k/a Kidde Fire Trainer Holdings LLC),5 Pearl Court Unit D Allendale NJ,http://www.kft.firetrainer.com,1980,Fire training solutions,Private (Non-PE),Education Services,Business and consumer services,20535034,2.44,3,741786.01,759788.54,515000
117,44514,c0000890,"PORVEN, LTD.",9/1/2023,5.2,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EffZq8yflE1NvoOiY6riNxIBXa23HtdAxtkANrxGYRhmHA?e=LUaWbo,0,Porven Ltd. d/b/a Porcelanosa USA,Ramsey NJ,https://www.porcelanosa-usa.com/,1973,Kitchen and bath tile manufacturer,Private (Non-PE),Building Products,Building materials,166990032,1.36,4,5256392,14825745.24,14626862
118,44520,c0000896,Vitalant,9/21/2023,4.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETLHAJhND0JMnAgD7ue2JAkBsA6MUEp2hjTTO25k4ARhOw?e=4A4xV6,0,Vitalant,Scottsdale AZ,https://vitalant.org/,1943,Vitalant is a nonprofit organization that collects blood from volunteer donors and provides blood/blood products and services across the United States,Private (Non-PE),Health Care Services,Health care services,729119487,1.2,2,4213050,21836650.63,21591000
119,44524,c0000900,Multi-Color Corporation,10/2/2023,6.2,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZRBbR7sra5Bjc6flBuDLwkBvncX0wf35biKJowrtwWvuw?e=ECba8o,0,"""Multi-Color Corporation (""""MCC"""")""",Cincinnati OH,https://www.mcclabel.com/en,1916,Provides global label solutions to a a number of the world?s most prominent brands including leading producers of Beverage/Wine & Spirits/Food & Dairy/Personal Care & Beauty/Home Care & Laundry/Healthcare/Durables & Technical and Automotive & Chemicals.,Private (PE),Commercial Printing,Media and entertainment,1725554000,3.72,3,66281000,24577643.37,24380000
120,45862,c0000902,Krispy Kreme Donut Corporation,12/5/2023,4.2,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EYj-AJ2pDo1KpnfmqgNglyUB1N_cWurKjIQqDPt6VbsU7w?e=uKejxS,0,Krispy Kreme Inc.,Charlotte NC,https://www.krispykreme.com/,1937,Multinational doughnut company and coffeehouse chain,Public,Retail and restaurants,Retail And Restaurants,1529898000,null,null,null,null,null
135,45863,c0000903,"Gemcap Investments, LLC",11/17/2023,4.5,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000903_Gemcap%20Investments,%20LLC/FP%20TCE_v6.65%20-%20Gemcap%20(2023-11-17).pdf?csf=1&web",,"Gemcap Investments, LLC","Miami, FL",https://gemcaplogistics.com/,2009,Provide trucking & logistics services,Private (Non-PE),Cargo Ground Transportation,Transportation cyclical,6922142,1823227,517808,517808,847128,584081
130,45864,c0000904,"BES Associates, Corp.",12/10/2023,5.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EfAblMMS_fBFg4kWtHHFFToBGe-mTIs4Dxs3R1KObjndFQ?e=drXDre,,"BES Associates, Corp.","Miami, FL",http://www.besmiami.com/,2013,Glazing systems designer and manufacturer,Private (Non-PE),Building Products,Building materials,11624267,3724025,2193486,2272777,10491487,2582658
121,45865,c0000905,"S and M Transportation, Inc.",11/16/2023,4.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EfBW5GKBoK1Bs_1wAbFxEUEBkqOlC1MCZ5CEJCj_2skgFg?e=ufN1ZN,0,S&M Transportation Inc.,Saraland AL,https://smtrans.com/,1987,Provides warehousing facilities and logistical services,Private (Non-PE),Cargo Ground Transportation,Transportation cyclical,22715549.23,1.36,5,1821735.85,5644527.92,5044527.92
122,45871,c0000907,L.B. Plastics Incorporated,10/3/2023,5.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EW-jVOs46FlIjyuGTjQ15sMBju4X8cQLWs9U7U5YfWRGwA?e=7M0YBU,0,L.B. Plastics Inc,482 East Plaza Drive Mooresville NC 28115,https://www.lbplastics.com/,1977,Plastics manufacturing,Private (PE),Building Products,Building materials,10546686,1.92,4,1123364,1411790.5,1219937.5
123,45872,c0000908,Brasfield Gorrie,11/28/2023,7.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETQQqkDq6C9NgBpOkh7gP-8B-mDhiqntNvm17v5VfkvVpw?e=n2kxwf,0,Brasfield & Gorrie LLC,Birmingham AL,https://www.brasfieldgorrie.com/,1921,General contracting/design-build & construction management services.,Private (Non-PE),Construction and Engineering,Engineering and construction,5003291000,12.86,3,295726000,25123993,24928000
124,45875,c0000910,"Christie Lites Orlando, LLC",11/22/2023,7.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EauVaHLMrT5MlH0ddxaKq1sBcR6bpO_qNfcw4nayx1p9qw?e=OEW7cI,0,Christie Lites Enterprises,Orlando FL,https://www.christielites.com/,1985,Production lighting rental / service,Private (Non-PE),Diversified Support Services,Business and consumer services,164240882.7,13.62,3,51721388.69,5769457.87,4098029.3
136,46742,c0000912,Crown Packaging (MO Corp),10/10/2023,6.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUg5_PRmmTFMro_lnysHRmIBqqAr_j-83YfIrr_sfzi2Xg,,Crown Packaging Corp (MO Corp),"Chesterfield, MO",https://crownpack.com/,1969,Industrial packaging products and equipment,Private (Non-PE),Paper and Plastic Packaging Products and Materials,Containers and packaging,3000000000,0,0,0,143375824,27308932
