filename,tenant_name,revenue,website,industry,business_description,credit_score,probability_of_default
"FP TCE_v6.67 - ACTEGA North America, Inc. (2024-04-16).pdf","ACTEGA North America, Inc.(Guarantor & partent ACTEGA Gmbh, overall part of Altana AG)","$2,741.5M",https://www.actega.com/emea/en/,"Manufacturer of water based coatings, inks and adhesives Adjusted EBITDA - 450,619 391,327 -13.2%","Manufacturer of water based coatings, inks and adhesives Adjusted EBITDA - 450,619 391,327 -13.2%",A,
FP TCE_v7.44 - WeldFit (2024-11-05).pdf,"WeldFit Management Holdings, LLC",$122M,https://www.weldfit.com/,Manufactures pipeline equipment for oil and gas Profitability EBITDA Margin 14.0% 39.0% 100%,Manufactures pipeline equipment for oil and gas Profitability EBITDA Margin 14.0% 39.0% 100%,BB,
FP TCE_v7.45 - G&W Products (2025-02-27).pdf,"G & W Products, Inc.",$49.9M,https://www.gandwproductsinc.com/,"Metal fabrication, stamping, welding, and coating. Adjusted EBITDA 1,565 3,384 5,777 70.7%","Metal fabrication, stamping, welding, and coating. Adjusted EBITDA 1,565 3,384 5,777 70.7%",B,
FP TCE_v7.44 - ICE (2024-12-18).pdf,"Intercontinental Exchange, Inc. (""ICE"")","$1,838M",https://www.ice.com/,"Global financial markets, CCP, and data infrastructure. Profitability EBITDA Margin 43.6% 49.6% 60%","Global financial markets, CCP, and data infrastructure. Profitability EBITDA Margin 43.6% 49.6% 60%",BBB,
FP TCE_v7.44 - Flowers Baking (2024-10-17).pdf,"Flowers Foods, Inc.","$4,099M",https://flowersfoods.com/,Leading producer of packaged bakery goods. Profitability EBITDA Margin 13.4% 6.4% 25%,Leading producer of packaged bakery goods. Profitability EBITDA Margin 13.4% 6.4% 25%,BB,
FP TCE_v7.44 - FleetPride (2024-10-23).pdf,"FleetPride, Inc.","$1,572M",https://www.fleetpride.com,Distributor of heavy-duty truck parts and services. Profitability EBITDA Margin 8.3% 9.2% 60%,Distributor of heavy-duty truck parts and services. Profitability EBITDA Margin 8.3% 9.2% 60%,B,
FP TCE_v7.44 - Lincare Inc (2025-01-19).pdf,"Linde plc (tenant: Lincare, Inc, sub of Linde)","$7,293M",https://www.linde.com/,Global provider of industrial gases and healthcare services. Profitability EBITDA Margin 22.0% 36.9%,Global provider of industrial gases and healthcare services. Profitability EBITDA Margin 22.0% 36.9%,A,
FP TCE_v6.64 - Multi-Color Corporation (2023-10-02).pdf,"Multi-Color Corporation (""MCC"")","$1,725.6M",https://www.mcclabel.com/en,"Provides global label solutions to a a number of the world’s most prominent Adjusted EBITDA 158,871 188,502 66,281 ‐64.8%","Provides global label solutions to a a number of the world’s most prominent Adjusted EBITDA 158,871 188,502 66,281 ‐64.8%",BB,
FP TCE_v6.64 - Best Nest Inc. (2023-10-13).pdf,BestNest Inc.,$24.0M,https://www.bestnest.com,"Online retailer of products for wildlife care and outdoor living. Adjusted EBITDA 2,821 2,833 1,602 ‐43.4%","Online retailer of products for wildlife care and outdoor living. Adjusted EBITDA 2,821 2,833 1,602 ‐43.4%",B,
FP TCE_v7.44 - VoidForm (2024-08-28).pdf,"VoidForm Products, LLC",$57.1M,https://voidform.com,"Manufactures void systems for soil-expansion mitigation. Adjusted EBITDA 8,880 15,671 12,175 -22.3%","Manufactures void systems for soil-expansion mitigation. Adjusted EBITDA 8,880 15,671 12,175 -22.3%",BB,
FP TCE_v7.44 - Cheer Gym (2024-10-31).pdf,"Champion Gymnastics and Cheer, LLC",$11M,,Youth-focused gymnastics and cheer training center. Profitability EBITDA Margin 15.9% 75.0% 100%,Youth-focused gymnastics and cheer training center. Profitability EBITDA Margin 15.9% 75.0% 100%,CCC,
FP TCE_v7.44 - Circuit Works Corporation (2025-01-23).pdf,"Circuit Works Corporation (""CWC"")",$69M,https://www.cwcems.com,Electronics manufacturing and assembly service provider. Profitability EBITDA Margin 7.1% 6.8% 45%,Electronics manufacturing and assembly service provider. Profitability EBITDA Margin 7.1% 6.8% 45%,B,
FP TCE_v7.53 - Momentum Glass (2025-06-04).pdf,"Momentum Exterior Systems, LLC  - sub of HITT",$69M,https://momentum-glass.com/,Commercial glass and façade system contractor. Profitability EBITDA Margin 7.2% 11.1% 72%,Commercial glass and façade system contractor. Profitability EBITDA Margin 7.2% 11.1% 72%,CCC,
FP TCE_v7.44 - Novartis (2024-10-29).pdf,0.02% to 0.04% # of Benchmarks: 21 Industry Company Percentile # of Industry Benchmarks 21,"$12,929M",https://www.novartis.com/,Global healthcare innovation and medicine development. Profitability EBITDA Margin 33.5% 38.7% 80%,Global healthcare innovation and medicine development. Profitability EBITDA Margin 33.5% 38.7% 80%,A,
FP TCE_v7.44 - Fastenal (2024-11-05).pdf,Fastenal Company,"$7,134M",https://www.fastenal.com/,Distributes industrial and construction supply products. Profitability EBITDA Margin 10.4% 23.1% 88%,Distributes industrial and construction supply products. Profitability EBITDA Margin 10.4% 23.1% 88%,AA,
FP TCE_v7.44 - CK Life Sciences (2024-11-14).pdf,"CK Life Sciences International Holdings, Inc. (""CKLS"")","$5,322.7M",https://www.ck-lifesciences.com/eng/,"Biotechnology solutions for health and agriculture. Adjusted EBITDA 1,191,002 1,218,767 1,181,448 -3.1%","Biotechnology solutions for health and agriculture. Adjusted EBITDA 1,191,002 1,218,767 1,181,448 -3.1%",B,
FP TCE_v7.53 - Profile Food Ingredients (2025-08-07).pdf,"Profile Food Ingredients, LLC (sub of RPM International (NYSE:RPM))",$52.8M,https://www.profilefoodingredients.com/,"Custom food ingredient systems and blends. Adjusted EBITDA 9,569 n/a","Custom food ingredient systems and blends. Adjusted EBITDA 9,569 n/a",B,
"FP TCE_v6.64 - Absolute Pallet, Inc. (2023-10-05).pdf","Absolute Pallet, Inc.",$3.0M,http://www.absolutepallet.com/,"Recycling, manufacturing, and logistical solutions related to pallets Adjusted EBITDA (25) 15 136 800.4%","Recycling, manufacturing, and logistical solutions related to pallets Adjusted EBITDA (25) 15 136 800.4%",B,
FP TCE_v7.44 - Viscot Medical (2024-12-28).pdf,"Viscot Medical, LLC",$15.2M,https://www.viscot.com/,"Produces disposable medical products for healthcare. Adjusted EBITDA 3,093 2,252 3,135 39.2%","Produces disposable medical products for healthcare. Adjusted EBITDA 3,093 2,252 3,135 39.2%",B,
FP TCE_v7.51 - Federal Rent-A-Fence (2025-04-25).pdf,"FEDERAL RENT-A-FENCE, LLC (""FRAF"")",$19.9M,https://federalrentafence.com,"Temporary fencing and barricade rental services. Adjusted EBITDA 6,646 7,025 6,764 -3.7%","Temporary fencing and barricade rental services. Adjusted EBITDA 6,646 7,025 6,764 -3.7%",A-,
FP TCE_v7.52 - EZ Livery Leasing (2025-05-30).pdf,EZ Livery Leasing LLC,$120.3M,https://www.nyliveryleasing.com/,"Leases vehicles to licensed livery drivers. Adjusted EBITDA 23,676 34,634 69,272 100.0%","Leases vehicles to licensed livery drivers. Adjusted EBITDA 23,676 34,634 69,272 100.0%",B,
FP TCE_v7.53 - Great Wall Textile (2025-06-05).pdf,Great Wall Textile Inc.,$1.0M,,Textile wholesaler/importer and sublimation equipment supplier. Adjusted EBITDA (18) 179 1090.4%,Textile wholesaler/importer and sublimation equipment supplier. Adjusted EBITDA (18) 179 1090.4%,C,
FP TCE_v7.45 - DIGI America (2025-03-11).pdf,"DIGI America, Inc. (wholly-owned sub of Teraoka Seiko Co., LTD)",$45.0M,https://www.digisystem.com/us/,"Distributor and wholesaler of scales, wrappers, labelers & POS systems. Adjusted EBITDA 3,509 5,635 2,464 -56.3%","Distributor and wholesaler of scales, wrappers, labelers & POS systems. Adjusted EBITDA 3,509 5,635 2,464 -56.3%",B,
"FP TCE_v7.45 - Gofo, Inc (2025-03-19).pdf","Gofo, Inc. d/b/a Gofo Express",$301M,https://www.gofoexpress.com/,Expedited logistics and time-sensitive shipping services. Profitability EBITDA Margin 10.3% 3.9% 7%,Expedited logistics and time-sensitive shipping services. Profitability EBITDA Margin 10.3% 3.9% 7%,CC,
PROFORMA - FP TCE_v6.66 - Torrent Photonics & Salvo (2024-04-11).pdf,Torrent Photonics LLC (includes Salvo Technologies LLC),$56.6M,https://torrentphotonics.com/,"Develops precision optics and imaging devices. Adjusted EBITDA 12,963 7,168 11,699 63.2%","Develops precision optics and imaging devices. Adjusted EBITDA 12,963 7,168 11,699 63.2%",B,
"FP TCE_v6.57 - Master_American Musical Supply, Inc. (2023-09-21).pdf","American Musical Supply, Inc. (""AMS"")",$336M,https://www.americanmusical.com/,Online musical instrument retailer and wholesale supplier Gross Profit Margin 26.6% 26.4% (21) bps,Online musical instrument retailer and wholesale supplier Gross Profit Margin 26.6% 26.4% (21) bps,BB,
FP TCE_v7.44 - USA Wheel & Tire (2024-11-23).pdf,"USA Wheel & Tire Outlet, Inc.",$87.9M,https://usawheelstires.com/,"Wholesale distributor of tires and wheels. Adjusted EBITDA 1,359 1,667 1,622 -2.7%","Wholesale distributor of tires and wheels. Adjusted EBITDA 1,359 1,667 1,622 -2.7%",CCC,
FP TCE_v7.45 - Estee Lauder Companies (2025-04-07).pdf,The Estée Lauder Companies Inc.,"$2,069M",https://www.esteelauder.com/,Global developer and seller of prestige beauty. Profitability EBITDA Margin 13.7% 11.5% 28%,Global developer and seller of prestige beauty. Profitability EBITDA Margin 13.7% 11.5% 28%,BBB,
FP TCE_v6.63 - Acme Lock  Door Experts (2023-10-04).pdf,"Acme Lock Company, LLC",$6.4M,https://www.acmelock.com/,Safety and security devices Adjusted EBITDA ‐ 621 987 59.1%,Safety and security devices Adjusted EBITDA ‐ 621 987 59.1%,B,
FP TCE_v7.44 - Caldic (2024-12-19).pdf,1.89% to 3.18% Company Overview Financial Statement Highlights,"$2,222.4M",https://www.caldic.com/,"Distributes and manufactures specialty chemicals, ingredients. Adjusted EBITDA 163,404 193,622 239,600 23.7%","Distributes and manufactures specialty chemicals, ingredients. Adjusted EBITDA 163,404 193,622 239,600 23.7%",B,
FP TCE_v7.44 - Brady (2024-09-17) - LIGHT ASSESSMENT.pdf,"Brady Industries of Illinois, LLC",$17M,https://www.bradyindustries.com/,"Distributor of cleaning, sanitation, and foodservice products. Profitability EBITDA Margin 6.3% 23.2% 100%","Distributor of cleaning, sanitation, and foodservice products. Profitability EBITDA Margin 6.3% 23.2% 100%",CCC,
FP TCE_v7.44 - YesVideo (2024-10-04).pdf,"YesVideo, Inc.",$3.8M,https://www.yesvideo.com/,"Converts old media to digital and cloud formats. Adjusted EBITDA (2,549) (1,556) (846) 45.6%","Converts old media to digital and cloud formats. Adjusted EBITDA (2,549) (1,556) (846) 45.6%",CC,
"FP TCE_v7.44 - Greif, Inc (2025-01-12).pdf","Greif, Inc.","$5,448.1M",https://www.greif.com/,"Global provider of industrial packaging solutions. Adjusted EBITDA 837,800 836,100 725,900 -13.2%","Global provider of industrial packaging solutions. Adjusted EBITDA 837,800 836,100 725,900 -13.2%",B,
FP TCE_v6.23 - cbdMD_v2.pdf,"cbdMD, Inc.",$103M,https://www.cbdmd.com/,"CBD Manufacturer / Distributor Adjusted EBITDA (13,764) (6,927) 44,135","CBD Manufacturer / Distributor Adjusted EBITDA (13,764) (6,927) 44,135",CBD,
FP TCE_v7.44 - Delta Landscaping (2024-11-05).pdf,"Delta Landscape Supply Of Georgia, Inc.",$17M,https://www.deltalandscape.com/,Supplies erosion control and landscaping products. Profitability EBITDA Margin 14.9% 7.3% 32%,Supplies erosion control and landscaping products. Profitability EBITDA Margin 14.9% 7.3% 32%,CCC,
FP TCE_v7.52 - Marcolin (2025-05-06).pdf,Macrolin U.S.A. Eyewear Corp (sub of Marcolin Group),$179.6M,https://www.marcolin.com/en/,"Distributes (only!) licensed fashion eyewear in U.S. Adjusted EBITDA 15,856 14,918 15,319 2.7%","Distributes (only!) licensed fashion eyewear in U.S. Adjusted EBITDA 15,856 14,918 15,319 2.7%",A,
FP TCE_v7.44 - Vitaquest (2024-11-14).pdf,"Vitaquest International, LLC",$189M,https://vitaquest.com/,Contract manufacturer of dietary supplements. Profitability EBITDA Margin 5.3% 11.8% 75%,Contract manufacturer of dietary supplements. Profitability EBITDA Margin 5.3% 11.8% 75%,BB,
"FP TCE_v7.44 - NewCo, Plastics (2025-01-16).pdf","NewCo Plastics, LLC",$116M,https://www.newcoplastics.com/,Precision plastic injection molding manufacturers. Profitability EBITDA Margin 10.6% 12.0% 54%,Precision plastic injection molding manufacturers. Profitability EBITDA Margin 10.6% 12.0% 54%,B,
FP TCE_v7.45 - TruckPro (2025-02-12).pdf,TruckPro Holding Corporation,$648M,https://www.truckpro.com/,Heavy-duty truck parts distribution and services. Profitability EBITDA Margin 5.5% 4.8% 42%,Heavy-duty truck parts distribution and services. Profitability EBITDA Margin 5.5% 4.8% 42%,CCC,
FP TCE_v7.53 - Spectrum (NYSE CHTR) (2025-06-09).pdf,"Charter Communications, Inc. (""Charter"")","$3,484M",https://corporate.charter.com/,"Broadband, TV, mobile, and voice services. Profitability EBITDA Margin 32.4% 41.0% 85%","Broadband, TV, mobile, and voice services. Profitability EBITDA Margin 32.4% 41.0% 85%",BB,
FP TCE_v7.44 - Pride Delivery (2024-12-12).pdf,"Pride Delivery and Installation, LLC",$12M,https://www.pridedandi.com/,"Appliance delivery, installation, and disposal services. Profitability EBITDA Margin 11.8% 10.3% 45%","Appliance delivery, installation, and disposal services. Profitability EBITDA Margin 11.8% 10.3% 45%",B,
FP TCE_v7.45 - TWF (2025-01-30).pdf,True World Foods Columbus LLC,$16.3M,http://www.trueworldfoods.com/,Seafood distributor specializing in sushi-grade products. Adjusted EBITDA - 714 831 16.4%,Seafood distributor specializing in sushi-grade products. Adjusted EBITDA - 714 831 16.4%,B,
FP TCE_v7.53 - Europastry (2025-08-01).pdf,1.89% to 3.18% Company Overview Financial Statement Highlights,"$1,794M",https://europastry.com/us/en/,"Frozen bakery manufacturer and global distributor Adjusted EBITDA - 175,751 211,289 20.2%","Frozen bakery manufacturer and global distributor Adjusted EBITDA - 175,751 211,289 20.2%",A,
FP TCE_v7.42 - Proven Partners Group (2024-08-06).pdf,"Proven Partners Group, LLC (""PPG"")",$73.7M,https://www.provenpartnersgroup.com/,"Custom food production and logistics services. Adjusted EBITDA 14,271 11,372 12,789 12.5%","Custom food production and logistics services. Adjusted EBITDA 14,271 11,372 12,789 12.5%",CCC,
"FP TCE_v6.66 - Vantec Hitachi Transport System (USA), Inc. (2024-03-23).pdf","Vantec Hitachi Transport System (USA), Inc.",$172.7M,https://www.vantec-gl.com/,"Logistics and supply chain solutions provider. Adjusted EBITDA 2,329 5,572 10,340 85.6%","Logistics and supply chain solutions provider. Adjusted EBITDA 2,329 5,572 10,340 85.6%",BB,
FP TCE_v6.67 - Unifoil Holdings Inc. (2024-05-01).pdf,Unifoil Holdings Inc.,$30.9M,https://unifoil.com/,"Creates recyclable packaging for consumer goods industries. Adjusted EBITDA 2,505 2,813 4,224 50.1%","Creates recyclable packaging for consumer goods industries. Adjusted EBITDA 2,505 2,813 4,224 50.1%",B,
FP TCE_v7.44 - Zeus Scientific (2024-11-15).pdf,"Zeus Scientific, Inc.",$19.3M,https://www.zeusscientific.com/,"Diagnostic immunoassays for disease detection. Adjusted EBITDA 3,013 560 1,973 252.2%","Diagnostic immunoassays for disease detection. Adjusted EBITDA 3,013 560 1,973 252.2%",CCC,
FP TCE_v7.51 - Koontz Electric (2025-05-01).pdf,"Koontz Electric Company, Incorporated",$73M,https://koontzelectric.com/,Specialized industrial and utility electrical contractor. Profitability EBITDA Margin 7.3% 13.8% 75%,Specialized industrial and utility electrical contractor. Profitability EBITDA Margin 7.3% 13.8% 75%,BB,
FP TCE_v6.65 - Motorvation LLC (2023-11-07).pdf,Motorvation LLC,$28.9M,www.motorvationtrucks.com,Specializes in selling pre‐owned trucks. Adjusted EBITDA 256 382 (196),Specializes in selling pre‐owned trucks. Adjusted EBITDA 256 382 (196),CC,
FP TCE_v6.65 - Beautylish (2023-12-22).pdf,Beautylish Inc.,$65.2M,https://www.beautylish.com/,"Operator of an online cosmetic retail platform Adjusted EBITDA 1,241 2,745 4,449 62.1%","Operator of an online cosmetic retail platform Adjusted EBITDA 1,241 2,745 4,449 62.1%",B,
FP TCE_v7.44 - Modern Equipment Co Inc (2024-11-27).pdf,"Modern Equipment Co., Inc.",$21.8M,https://www.modernstoreequipment.com/,"Designs and manufactures retail store fixtures. Adjusted EBITDA - 2,811 1,271 -54.8%","Designs and manufactures retail store fixtures. Adjusted EBITDA - 2,811 1,271 -54.8%",CCC,
FP TCE_v7.45 - Florida Food Products (2025-02-28).pdf,"Florida Food Products, LLC",$253M,https://floridafood.com/,Natural plant-based ingredient solutions provider. Profitability EBITDA Margin 9.9% 14.2% 69%,Natural plant-based ingredient solutions provider. Profitability EBITDA Margin 9.9% 14.2% 69%,CCC,
FP TCE_v7.44 - Plastics Family Holdings (2024-12-16).pdf,9.02% to 14.87% Company Overview Financial Statement Highlights,"$1,270M",https://plasticsfamilyamericas.com/,Distributor of plastics and various value-added services. Adjusted EBITDA - - - FALSE,Distributor of plastics and various value-added services. Adjusted EBITDA - - - FALSE,CCC,
FP TCE_v7.51 - NCD Distributors (2025-05-08).pdf,"National Convenience Distributors, LLC (""NCD"")","$3,244.5M",https://www.thencd.com,"Wholesale distributor to convenience store retailers. Adjusted EBITDA 31,984 29,676 44,294 49.3%","Wholesale distributor to convenience store retailers. Adjusted EBITDA 31,984 29,676 44,294 49.3%",B,
FP TCE_v7.51 - Precision Group (2025-05-15).pdf,"Precision Facility Group, LLC / Precision Commercial Services, LLC (jointly ""PG"")",$34M,https://www.precision-fg.com/;,"Commercial relocation, logistics, and furniture services. Profitability EBITDA Margin 8.4% 4.6% 32%","Commercial relocation, logistics, and furniture services. Profitability EBITDA Margin 8.4% 4.6% 32%",CC,
"FP TCE_v7.44 - NewCo, Plastics (2025-02-05).pdf","NewCo Plastics, LLC (platform company)",$129.7M,https://www.newcoplastics.com/,"Custom plastic injection molding and coatings. Adjusted EBITDA 13,098 14,431 15,528 7.6%","Custom plastic injection molding and coatings. Adjusted EBITDA 13,098 14,431 15,528 7.6%",B,
FP TCE_v7.44 - Zina (2024-10-24).pdf,"Zina's Salads, Inc.",$14.2M,https://www.zsalads.com,"Wholesale manufacturer of fresh, ready-to-eat salads. Adjusted EBITDA (472) (226) 56 125.0%","Wholesale manufacturer of fresh, ready-to-eat salads. Adjusted EBITDA (472) (226) 56 125.0%",CCC,
FP TCE_v7.52 - American Spraytech (2025-07-08).pdf,"American Spraytech Holdings, LLC",$202.1M,https://www.americanspraytech.com/,"Contract manufacturer of aerosol and Bag-on-Valve products. Adjusted EBITDA 12,973 13,504 17,373 28.7%","Contract manufacturer of aerosol and Bag-on-Valve products. Adjusted EBITDA 12,973 13,504 17,373 28.7%",B,
FP TCE_v7.45 - YunExpress (2025-03-25).pdf,"Yunexpress USA, Inc.",$176M,https://www.yunexpress.com/,Cross-border e-commerce logistics and delivery. Profitability EBITDA Margin 9.8% 2.4% 4%,Cross-border e-commerce logistics and delivery. Profitability EBITDA Margin 9.8% 2.4% 4%,CCC,
FP TCE_v6.26 - RX Source (2023-08-16).pdf,RxSource (NJ) Inc.,$9,https://rxsource.com/welcome,"Sources, packages, labels, stores, & distributes medical products. Gross Profit Margin 18.1% 21.7% +365 bps","Sources, packages, labels, stores, & distributes medical products. Gross Profit Margin 18.1% 21.7% +365 bps",BB,
FP TCE_v7.42 - Window Nation (2024-08-21).pdf,"Window Nation, LLC (""WN"")",$401.1M,https://www.windownation.com/,"Home improvement - window, door, and siding replacement. Adjusted EBITDA - 44,449 45,340 2.0%","Home improvement - window, door, and siding replacement. Adjusted EBITDA - 44,449 45,340 2.0%",CCC,
FP TCE_v7.44 - Piab (2024-10-24).pdf,"Piab USA, Inc. (Wholly-owned sub of Piab Group, HQ'd in Täby, Uppsala Lan, Sweden)",$57M,https://www.piab.com/en-us,Develops vacuum and automation handling solutions. Profitability EBITDA Margin 9.9% 7.3% 30%,Develops vacuum and automation handling solutions. Profitability EBITDA Margin 9.9% 7.3% 30%,CCC,
FP TCE_v7.45 - March Products - Gold Crest (2025-03-18).pdf,"March Products, Inc.",$17.5M,https://marchproducts.com/,Wholesaler of outdoor shade products. Adjusted EBITDA - 701 202 -71.2%,Wholesaler of outdoor shade products. Adjusted EBITDA - 701 202 -71.2%,CCC,
FP TCE_v7.45 - Cavaform (2025-03-05).pdf,"Cavaform, Inc.",$23M,https://cavaform.com/,Plastic injection molding for medical & consumer applications Profitability EBITDA Margin 12.1% 28.6% 86%,Plastic injection molding for medical & consumer applications Profitability EBITDA Margin 12.1% 28.6% 86%,B,
FP TCE_v7.42 - MWD Logistics (2024-08-13).pdf,"MWD Logistics, Inc.",$16.8M,https://www.mwdlogistics.com/,"Warehouse and inventory management services. Adjusted EBITDA 1,185 1,275 1,207 -5.3%","Warehouse and inventory management services. Adjusted EBITDA 1,185 1,275 1,207 -5.3%",CC,
FP TCE_v7.44 - Precision Roll Solutions (2024-10-10) - Consolidated.pdf,"Precision Roll Solutions, LLC (""PRS"")",$78M,https://www.precisionrollsolutions.com/,Precision-engineered rolls and custom industrial components. Profitability EBITDA Margin 10.7% 19.3% 87%,Precision-engineered rolls and custom industrial components. Profitability EBITDA Margin 10.7% 19.3% 87%,CCC,
FP TCE_v6.65 - Atlas Packaging Inc (2023-11-17).pdf,"Atlas Packaging, Inc.",$17.7M,https://www.atlaspackaginginc.com/,"Manufacturer and distributor of packaging products Adjusted EBITDA 907 1,062 2,167 104.1%","Manufacturer and distributor of packaging products Adjusted EBITDA 907 1,062 2,167 104.1%",BBB,
FP TCE_v7.53 - Rocky Mountain NexBev (2025-08-09).pdf,"Rocky Mountain NexBev, Inc. (wholly-owned sub of Rocky Mountain High Brands (RMHB))",$49M,,Produces and distributes functional wellness beverages Profitability EBITDA Margin 12.5% 17.5% 74%,Produces and distributes functional wellness beverages Profitability EBITDA Margin 12.5% 17.5% 74%,CC,
FP TCE_v6.69 - Premio Foods (2024-07-08).pdf,"Premio Foods, Inc.",$266.6M,https://www.premiofoods.com/,"Crafts mainly Italian sausages for diverse tastes. Adjusted EBITDA - 18,890 27,689 46.6%","Crafts mainly Italian sausages for diverse tastes. Adjusted EBITDA - 18,890 27,689 46.6%",BBB,
FP TCE_v6.65 - Wincup.Inc. and Subsidiaries (2024-03-29).pdf,"Wincup, Inc. (& Subsidiaries)",$251.9M,https://wincup.com/,"Manufactures and distributes plastics and foam products. Adjusted EBITDA 5,069 30,159 40,112 33.0%","Manufactures and distributes plastics and foam products. Adjusted EBITDA 5,069 30,159 40,112 33.0%",BB,
FP TCE_v7.45 - Jade Carpentry Contractors (2025-02-22).pdf,"Jade Carpentry Contractors, Inc.",$10.6M,https://www.jadecarpentry.com/,Specialized carpentry for construction and renovation projects. Adjusted EBITDA (593) 65 156 141.1%,Specialized carpentry for construction and renovation projects. Adjusted EBITDA (593) 65 156 141.1%,B,
FP TCE_v7.45 - Pelton Shepherd (2025-04-01).pdf,"Pelton-Shepherd Industries, Inc.",$83M,https://www.peltonshepherd.com,Cold chain gel pack manufacturer. Profitability EBITDA Margin 9.7% 18.0% 76%,Cold chain gel pack manufacturer. Profitability EBITDA Margin 9.7% 18.0% 76%,B,
FP TCE_v7.53 - Advanced Flower Capital (2025-06-09).pdf,"Advanced Flower Capital, Inc. (""AFCG"")",$45.7M,https://advancedflowercapital.com/,"Commercial Mortgage REIT providing secured loans to cannabis operators. Adjusted EBITDA 51,279 42,377 28,371 -33.0%","Commercial Mortgage REIT providing secured loans to cannabis operators. Adjusted EBITDA 51,279 42,377 28,371 -33.0%",CC,
FP TCE_v6.66 - EventLink (2024-04-09).pdf,"EventLink, LLC (wholly‐owned sub of EL Holding Company, Inc. and Subsidiaries)",$75.0M,https://www.go2eventlink.com/,"Events planning, marketing, and promotions organization Adjusted EBITDA 6,530 9,792 11,086 13.2%","Events planning, marketing, and promotions organization Adjusted EBITDA 6,530 9,792 11,086 13.2%",BB,
FP TCE_v7.44 - Triangle Services (2024-11-19).pdf,"Triangle Services, Inc.",$178.9M,https://www.triangleservices.com/,"Integrated facility, aviation, and communication services. Adjusted EBITDA 7,189 11,528 16,971 47.2%","Integrated facility, aviation, and communication services. Adjusted EBITDA 7,189 11,528 16,971 47.2%",BB,
FP TCE_v7.45 - Bunting Magnetics (2025-03-04).pdf,0.38% to 0.60% Company Overview Financial Statement Highlights,$38.5M,https://buntingmagnetics.com/,"Magnetic technology solutions for industrial applications. Adjusted EBITDA 6,966 4,371 2,874 -34.2%","Magnetic technology solutions for industrial applications. Adjusted EBITDA 6,966 4,371 2,874 -34.2%",BB,
FP TCE_v7.45 - Enzo Biochem (2025-03-18).pdf,"Enzo Biochem, Inc",$31.9M,https://www.enzo.com,"Biotechnology company specializing in molecular diagnostics. Adjusted EBITDA (12,180) (11,093) (11,093) 0.0%","Biotechnology company specializing in molecular diagnostics. Adjusted EBITDA (12,180) (11,093) (11,093) 0.0%",CC,
FP TCE_v7.44 - CFC Group (2025-01-15).pdf,"CFC Group, LLC",$17M,https://cfcgroupinc.com/,Sales agent for office furniture manufacturers. Profitability EBITDA Margin 12.0% 30.6%,Sales agent for office furniture manufacturers. Profitability EBITDA Margin 12.0% 30.6%,CCC,
FP TCE_v7.45 - Modernfoldstyles (2025-03-04).pdf,"Modernfold/Styles, Inc.",$48.8M,https://www.modernfoldstyles.com/,"Space management solutions and partition systems. Adjusted EBITDA 1,486 (88) 1,494 1800.9%","Space management solutions and partition systems. Adjusted EBITDA 1,486 (88) 1,494 1800.9%",CC,
FP TCE_v7.44 - Flower Shop El Chapin (2024-11-05).pdf,"Flower Shop El Chap In, LLC",$28M,,Florist providing floral arrangements and event services. Profitability EBITDA Margin 6.5% 44.4% 100%,Florist providing floral arrangements and event services. Profitability EBITDA Margin 6.5% 44.4% 100%,CC,
FP TCE_v7.44 - Vie de France Yamazaki (2024-12-12).pdf,"Vie De France Yamazaki, Inc. (Wholly-owned subsidiary of Yamazaki Baking Company, Ltd)",$122M,http://www.viedefrance.com/,French-inspired bakery products for retail/wholesale. Profitability EBITDA Margin 5.7% 4.4% 56%,French-inspired bakery products for retail/wholesale. Profitability EBITDA Margin 5.7% 4.4% 56%,B,
FP TCE_v7.52 - Chemisys Inc (2025-05-29).pdf,"Chemisys Laboratories, LLC",$8.5M,https://chemisys.net/,Clinical diagnostic testing and laboratory services. Adjusted EBITDA (368) 67 256 280.6%,Clinical diagnostic testing and laboratory services. Adjusted EBITDA (368) 67 256 280.6%,CC,
FP TCE_v7.44 - Licaflex (2025-01-01).pdf,"Effectively ""Licaflex Packaging, Inc."" despite Holdco",$55.0M,https://licaflex.com/,"Flexible plastic packaging manufacturer and supplier. Adjusted EBITDA - 16,829 17,744 5.4%","Flexible plastic packaging manufacturer and supplier. Adjusted EBITDA - 16,829 17,744 5.4%",B,
FP TCE_v7.51 - Precision Group (2025-05-22).pdf,"Precision Facility Group, LLC / Precision Commercial Services, LLC (jointly ""PG"")",$18.2M,https://www.precision-fg.com/;,"Commercial relocation, logistics, and furniture services. Adjusted EBITDA - 518 262 -49.4%","Commercial relocation, logistics, and furniture services. Adjusted EBITDA - 518 262 -49.4%",CC,
FP TCE_v6.68 - ZOne (2024-05-22).pdf,"Z.One Concept USA, Inc. (owned by Beautynova Group, backed by PAI Partners and Bluegem Capital Partners)",$21.2M,https://www.z-oneconcept.com/en/,"Provides professional hair care products and services. Adjusted EBITDA 5,252 4,671 5,646 20.9%","Provides professional hair care products and services. Adjusted EBITDA 5,252 4,671 5,646 20.9%",BB,
